partinamn;fylkesnr;kommunenr;partitype;valar;stemmer;relativdel;mandat;utbetalingsar;grunnstonad;stemmestotte;totalt
AKERSHUS UNGE VENSTRE;2;200;FylkesUngdom;2011;0;0;0;2012;0,00;135636,10;135636,10
Vestby  Arbeiderparti;2;211;Kommune;2011;2348;31,2;11;2012;1278,00;27518,56;28796,56
Vestby Fremskrittsparti;2;211;Kommune;2011;687;9,1;3;2012;1278,00;8051,64;9329,64
Vestby Høyre;2;211;Kommune;2011;2876;38,2;14;2012;1278,00;33706,72;34984,72
Vestby KrF;2;211;Kommune;2011;222;3;1;2012;1278,00;2601,84;3879,84
Miljøpartiet De Grønne Vestby;2;211;Kommune;2011;69;0,9;0;2012;0,00;808,68;808,68
Vestby Senterparti;2;211;Kommune;2011;445;5,9;2;2012;1278,00;5215,40;6493,40
Vestby SV;2;211;Kommune;2011;360;4,8;2;2012;1278,00;4219,20;5497,20
Ski  Arbeiderparti;2;213;Kommune;2011;4585;32,2;13;2012;1278,00;53736,20;55014,20
Ski Fremskrittsparti;2;213;Kommune;2011;1527;10,7;5;2012;1278,00;17896,44;19174,44
Ski Høyre;2;213;Kommune;2011;5048;35,5;15;2012;1278,00;59162,56;60440,56
Ski KrF;2;213;Kommune;2011;489;3,4;1;2012;1278,00;5731,08;7009,08
Miljøpartiet De Grønne Ski, Akershus;2;213;Kommune;2011;163;1,1;0;2012;0,00;1910,36;1910,36
Ski Pensjonistparti;2;213;Kommune;2011;318;2,2;1;2012;1278,00;3726,96;5004,96
Ski Rødt;2;213;Kommune;2011;206;1,4;0;2012;0,00;2414,32;2414,32
Ski Senterparti;2;213;Kommune;2011;362;2,5;1;2012;1278,00;4242,64;5520,64
Ski SV;2;213;Kommune;2011;614;4,3;2;2012;1278,00;7196,08;8474,08
SKI VENSTRE;2;213;Kommune;2011;927;6,5;3;2012;1278,00;10864,44;12142,44
Ås  Arbeiderparti;2;214;Kommune;2011;2456;30,5;10;2012;1278,00;28784,32;30062,32
Ås Fremskrittsparti;2;214;Kommune;2011;837;10,4;4;2012;1278,00;9809,64;11087,64
Ås Høyre;2;214;Kommune;2011;2004;24,9;8;2012;1278,00;23486,88;24764,88
Ås KrF;2;214;Kommune;2011;316;3,9;1;2012;1278,00;3703,52;4981,52
Miljøpartiet De Grønne Ås;2;214;Kommune;2011;197;2,4;1;2012;1278,00;2308,84;3586,84
Ås Senterparti;2;214;Kommune;2011;739;9,2;3;2012;1278,00;8661,08;9939,08
Ås SV;2;214;Kommune;2011;732;9,1;3;2012;1278,00;8579,04;9857,04
ÅS VENSTRE;2;214;Kommune;2011;782;9,7;3;2012;1278,00;9165,04;10443,04
Frogn  Arbeiderparti;2;215;Kommune;2011;1855;23,6;7;2012;1278,00;21740,60;23018,60
Frogn Fremskrittsparti;2;215;Kommune;2011;667;8,5;3;2012;1278,00;7817,24;9095,24
Frogn Høyre;2;215;Kommune;2011;2480;31,5;10;2012;1278,00;29065,60;30343,60
Frogn KrF;2;215;Kommune;2011;545;6,9;2;2012;1278,00;6387,40;7665,40
Frogn Pensjonistparti;2;215;Kommune;2011;380;4,8;1;2012;1278,00;4453,60;5731,60
Frogn Senterparti;2;215;Kommune;2011;279;3,5;1;2012;1278,00;3269,88;4547,88
Frogn SV;2;215;Kommune;2011;400;5,1;2;2012;1278,00;4688,00;5966,00
FROGN VENSTRE;2;215;Kommune;2011;1258;16;5;2012;1278,00;14743,76;16021,76
Nesodden  Arbeiderparti;2;216;Kommune;2011;2550;27,6;9;2012;1278,00;29886,00;31164,00
Nesodden Fremskrittsparti;2;216;Kommune;2011;565;6,1;2;2012;1278,00;6621,80;7899,80
Nesodden Høyre;2;216;Kommune;2011;2505;27,1;8;2012;1278,00;29358,60;30636,60
Nesodden KrF;2;216;Kommune;2011;407;4,4;1;2012;1278,00;4770,04;6048,04
Miljøpartiet De Grønne;2;216;Kommune;2011;462;5;2;2012;1278,00;5414,64;6692,64
Rødt Nesodden ;2;216;Kommune;2011;535;5,8;2;2012;1278,00;6270,20;7548,20
Senterpartiet;2;216;Kommune;2011;58;0,6;0;2012;0,00;679,76;679,76
Nesodden SV;2;216;Kommune;2011;1562;16,9;5;2012;1278,00;18306,64;19584,64
NESODDEN VENSTRE;2;216;Kommune;2011;579;6,3;2;2012;1278,00;6785,88;8063,88
Oppegård  Arbeiderparti;2;217;Kommune;2011;3477;25,3;8;2012;1278,00;40750,44;42028,44
Oppegård Fremskrittsparti;2;217;Kommune;2011;1050;7,6;2;2012;1278,00;12306,00;13584,00
Oppegård Høyre;2;217;Kommune;2011;6661;48,4;16;2012;1278,00;78066,92;79344,92
Oppegård KrF;2;217;Kommune;2011;608;4,4;1;2012;1278,00;7125,76;8403,76
Miljøpartiet De Grønne Oppegård;2;217;Kommune;2011;122;0,9;0;2012;0,00;1429,84;1429,84
Oppegård Rødt;2;217;Kommune;2011;81;0,6;0;2012;0,00;949,32;949,32
Senterpartiet;2;217;Kommune;2011;80;0,6;0;2012;0,00;937,60;937,60
Oppegård Sv;2;217;Kommune;2011;646;4,7;2;2012;1278,00;7571,12;8849,12
OPPEGÅRD VENSTRE;2;217;Kommune;2011;1036;7,5;2;2012;1278,00;12141,92;13419,92
Bærum  Arbeiderparti;2;219;Kommune;2011;12475;21,1;11;2012;1278,00;146207,00;147485,00
Bærum Fremskrittsparti;2;219;Kommune;2011;4599;7,8;4;2012;1278,00;53900,28;55178,28
Bærum Høyre;2;219;Kommune;2011;30296;51,3;27;2012;1278,00;355069,12;356347,12
Bærum KrF;2;219;Kommune;2011;1552;2,6;1;2012;1278,00;18189,44;19467,44
Miljøpartiet De Grønne;2;219;Kommune;2011;699;1,2;0;2012;0,00;8192,28;8192,28
Bærum Pensjonistparti;2;219;Kommune;2011;954;1,6;1;2012;1278,00;11180,88;12458,88
Bærum Rødt;2;219;Kommune;2011;662;1,1;0;2012;0,00;7758,64;7758,64
Bærum Senterparti;2;219;Kommune;2011;482;0,8;0;2012;0,00;5649,04;5649,04
Bærum SV;2;219;Kommune;2011;1998;3,4;2;2012;1278,00;23416,56;24694,56
BÆRUM VENSTRE;2;219;Kommune;2011;5380;9,1;5;2012;1278,00;63053,60;64331,60
Asker  Arbeiderparti;2;220;Kommune;2011;5731;20;10;2012;1278,00;67167,32;68445,32
Asker Fremskrittsparti;2;220;Kommune;2011;2300;8;4;2012;1278,00;26956,00;28234,00
Asker Høyre;2;220;Kommune;2011;14901;51,9;25;2012;1278,00;174639,72;175917,72
Asker KrF;2;220;Kommune;2011;789;2,7;1;2012;1278,00;9247,08;10525,08
Asker Pensjonistparti;2;220;Kommune;2011;528;1,8;1;2012;1278,00;6188,16;7466,16
Rødt Asker;2;220;Kommune;2011;247;0,9;0;2012;0,00;2894,84;2894,84
Asker Senterparti;2;220;Kommune;2011;307;1,1;0;2012;0,00;3598,04;3598,04
Asker SV;2;220;Kommune;2011;828;2,9;1;2012;1278,00;9704,16;10982,16
ASKER VENSTRE;2;220;Kommune;2011;2024;7,1;3;2012;1278,00;23721,28;24999,28
Aurskog/Høland  Arb.Parti;2;221;Kommune;2011;2675;37,1;13;2012;1278,00;31351,00;32629,00
Aurskog-Høland Fremskrittsparti;2;221;Kommune;2011;1506;20,9;7;2012;1278,00;17650,32;18928,32
Aurskog-Høland Høyre;2;221;Kommune;2011;1244;17,3;6;2012;1278,00;14579,68;15857,68
Aurskog-Høland KrF;2;221;Kommune;2011;560;7,8;3;2012;1278,00;6563,20;7841,20
Aurskog-Høland Senterparti;2;221;Kommune;2011;921;12,8;5;2012;1278,00;10794,12;12072,12
AURSKOG HØLAND VENSTRE;2;221;Kommune;2011;126;1,7;0;2012;0,00;1476,72;1476,72
Sørum  Arbeiderparti;2;226;Kommune;2011;3133;40,3;13;2012;1278,00;36718,76;37996,76
Sørum Fremskrittsparti;2;226;Kommune;2011;917;11,8;4;2012;1278,00;10747,24;12025,24
Sørum Høyre;2;226;Kommune;2011;2232;28,7;9;2012;1278,00;26159,04;27437,04
Sørum KrF;2;226;Kommune;2011;319;4,1;1;2012;1278,00;3738,68;5016,68
Sørum Senterparti;2;226;Kommune;2011;600;7,7;2;2012;1278,00;7032,00;8310,00
Sørum Sv;2;226;Kommune;2011;288;3,7;1;2012;1278,00;3375,36;4653,36
Venstre;2;226;Kommune;2011;283;3,6;1;2012;1278,00;3316,76;4594,76
Fet  Arbeiderparti;2;227;Kommune;2011;2053;39,3;11;2012;1278,00;24061,16;25339,16
Fet Fremskrittsparti;2;227;Kommune;2011;835;16;4;2012;1278,00;9786,20;11064,20
Fet Høyre;2;227;Kommune;2011;1329;25,4;7;2012;1278,00;15575,88;16853,88
Miljøpartiet De Grønne Fet;2;227;Kommune;2011;103;2;0;2012;0,00;1207,16;1207,16
Fet Senterparti;2;227;Kommune;2011;406;7,8;2;2012;1278,00;4758,32;6036,32
Fet Sv;2;227;Kommune;2011;180;3,4;1;2012;1278,00;2109,60;3387,60
FET VENSTRE;2;227;Kommune;2011;320;6,1;2;2012;1278,00;3750,40;5028,40
Rælingen  Arbeiderparti;2;228;Kommune;2011;4095;54,7;20;2012;1278,00;47993,40;49271,40
Rælingen Fremskrittsparti;2;228;Kommune;2011;799;10,7;4;2012;1278,00;9364,28;10642,28
Rælingen Høyre;2;228;Kommune;2011;1694;22,6;8;2012;1278,00;19853,68;21131,68
Rælingen KrF;2;228;Kommune;2011;248;3,3;1;2012;1278,00;2906,56;4184,56
Rødt Rælingen;2;228;Kommune;2011;49;0,7;0;2012;0,00;574,28;574,28
Rælingen Senterparti;2;228;Kommune;2011;114;1,5;0;2012;0,00;1336,08;1336,08
Rælingen Sv;2;228;Kommune;2011;221;3;1;2012;1278,00;2590,12;3868,12
RÆLINGEN VENSTRE;2;228;Kommune;2011;260;3,5;1;2012;1278,00;3047,20;4325,20
Enebakk  Arbeiderparti;2;229;Kommune;2011;1234;25,8;7;2012;1278,00;14462,48;15740,48
Enebakk Fremskrittsparti;2;229;Kommune;2011;1090;22,8;6;2012;1278,00;12774,80;14052,80
Enebakk Høyre;2;229;Kommune;2011;1325;27,7;8;2012;1278,00;15529,00;16807,00
Enebakk KrF;2;229;Kommune;2011;201;4,2;1;2012;1278,00;2355,72;3633,72
Enebakk Senterparti;2;229;Kommune;2011;531;11,1;3;2012;1278,00;6223,32;7501,32
Enebakk SV;2;229;Kommune;2011;256;5,3;1;2012;1278,00;3000,32;4278,32
Enebakk Venstre;2;229;Kommune;2011;154;3,2;1;2012;1278,00;1804,88;3082,88
Lørenskog  Arbeiderparti;2;230;Kommune;2011;7315;44;21;2012;1278,00;85731,80;87009,80
Lørenskog Fremskrittsparti;2;230;Kommune;2011;1894;11,4;5;2012;1278,00;22197,68;23475,68
Lørenskog Høyre;2;230;Kommune;2011;4886;29,4;14;2012;1278,00;57263,92;58541,92
Lørenskog KrF;2;230;Kommune;2011;517;3,1;2;2012;1278,00;6059,24;7337,24
Lørenskog Senterparti;2;230;Kommune;2011;157;0,9;0;2012;0,00;1840,04;1840,04
Lørenskog Sv;2;230;Kommune;2011;523;3,1;2;2012;1278,00;6129,56;7407,56
LØRENSKOG VENSTRE;2;230;Kommune;2011;751;4,5;2;2012;1278,00;8801,72;10079,72
Skedsmo  Arbeiderparti;2;231;Kommune;2011;9261;39,9;19;2012;1278,00;108538,92;109816,92
Skedsmo Fremskrittsparti;2;231;Kommune;2011;2732;11,8;5;2012;1278,00;32019,04;33297,04
Skedsmo Høyre;2;231;Kommune;2011;7047;30,4;14;2012;1278,00;82590,84;83868,84
Skedsmo KrF;2;231;Kommune;2011;571;2,5;1;2012;1278,00;6692,12;7970,12
Miljøpartiet De Grønne Skedsmo;2;231;Kommune;2011;127;0,5;0;2012;0,00;1488,44;1488,44
Skedsmo Pensjonistparti;2;231;Kommune;2011;368;1,6;1;2012;1278,00;4312,96;5590,96
Rødt Skedsmo ;2;231;Kommune;2011;202;0,9;0;2012;0,00;2367,44;2367,44
Skedsmo Senterparti;2;231;Kommune;2011;371;1,6;1;2012;1278,00;4348,12;5626,12
Skedsmo Sv;2;231;Kommune;2011;814;3,5;2;2012;1278,00;9540,08;10818,08
SKEDSMO VENSTRE;2;231;Kommune;2011;830;3,6;2;2012;1278,00;9727,60;11005,60
Nittedal  Arbeiderparti;2;233;Kommune;2011;3574;34,4;10;2012;1278,00;41887,28;43165,28
Nittedal Fremskrittsparti;2;233;Kommune;2011;1451;14;4;2012;1278,00;17005,72;18283,72
Nittedal Høyre;2;233;Kommune;2011;3361;32,3;9;2012;1278,00;39390,92;40668,92
