partinamn;fylkesnr;kommunenr;partitype;valar;stemmer;relativdel;mandat;utbetalingsar;grunnstonad;stemmestonad;totalt
Miljøpartiet De Grønne Moss;1;104;Kommune;2011;90;0,6;0;2013;0,00;1 089,00;1 089,00
Pensjonistpartiet;1;104;Kommune;2011;204;1,4;0;2013;0,00;2 468,40;2 468,40
Moss Rødt;1;104;Kommune;2011;496;3,3;1;2013;1 320,00;6 001,60;7 321,60
Moss  Sv;1;104;Kommune;2011;524;3,5;1;2013;1 320,00;6 340,40;7 660,40
MOSS VENSTRE;1;104;Kommune;2011;645;4,3;2;2013;1 320,00;7 804,50;9 124,50
Sarpsborg Arbeiderparti;1;105;Kommune;2011;11121;48,1;21;2013;1 320,00;134 564,10;135 884,10
Sarpsborg Fremskrittsparti;1;105;Kommune;2011;3230;14;6;2013;1 320,00;39 083,00;40 403,00
Sarpsborg Høyre;1;105;Kommune;2011;4769;20,6;9;2013;1 320,00;57 704,90;59 024,90
Sarpsborg KrF;1;105;Kommune;2011;1346;5,8;3;2013;1 320,00;16 286,60;17 606,60
Pensjonistpartiet;1;105;Kommune;2011;574;2,5;1;2013;1 320,00;6 945,40;8 265,40
Rødt Sarpsborg;1;105;Kommune;2011;107;0,5;0;2013;0,00;1 294,70;1 294,70
Sarpsborg Senterparti;1;105;Kommune;2011;748;3,2;1;2013;1 320,00;9 050,80;10 370,80
Sarpsborg Sv;1;105;Kommune;2011;488;2,1;1;2013;1 320,00;5 904,80;7 224,80
SARPSBORG VENSTRE;1;105;Kommune;2011;625;2,7;1;2013;1 320,00;7 562,50;8 882,50
Fredrikstad  Arb.Parti;1;106;Kommune;2011;17644;49,2;26;2013;1 320,00;213 492,40;214 812,40
Fredrikstad Fremskrittsparti;1;106;Kommune;2011;4972;13,9;7;2013;1 320,00;60 161,20;61 481,20
Fredrikstad Høyre;1;106;Kommune;2011;7168;20;11;2013;1 320,00;86 732,80;88 052,80
Fredrikstad KrF;1;106;Kommune;2011;1526;4,3;2;2013;1 320,00;18 464,60;19 784,60
Kystpartiet;1;106;Kommune;2011;71;0,2;0;2013;0,00;859,10;859,10
Fredrikstad Pensjonistparti;1;106;Kommune;2011;664;1,9;1;2013;1 320,00;8 034,40;9 354,40
Fredrikstad Rødt;1;106;Kommune;2011;236;0,7;0;2013;0,00;2 855,60;2 855,60
Fredrikstad Senterparti;1;106;Kommune;2011;667;1,9;1;2013;1 320,00;8 070,70;9 390,70
Fredrikstad Sv;1;106;Kommune;2011;1080;3;2;2013;1 320,00;13 068,00;14 388,00
FREDRIKSTAD VENSTRE;1;106;Kommune;2011;1051;2,9;2;2013;1 320,00;12 717,10;14 037,10
Hvaler Arbeiderparti;1;111;Kommune;2011;676;28,2;6;2013;1 320,00;8 179,60;9 499,60
Hvaler Fremskrittsparti;1;111;Kommune;2011;770;32,1;7;2013;1 320,00;9 317,00;10 637,00
Hvaler Høyre;1;111;Kommune;2011;592;24,7;5;2013;1 320,00;7 163,20;8 483,20
Hvaler Senterparti;1;111;Kommune;2011;80;3,3;1;2013;1 320,00;968,00;2 288,00
HVALER VENSTRE;1;111;Kommune;2011;122;5,1;1;2013;1 320,00;1 476,20;2 796,20
Aremark Arbeiderparti;1;118;Kommune;2011;203;25,9;4;2013;1 320,00;2 456,30;3 776,30
Aremark Høyre;1;118;Kommune;2011;109;13,9;2;2013;1 320,00;1 318,90;2 638,90
Aremark KrF;1;118;Kommune;2011;119;15,2;3;2013;1 320,00;1 439,90;2 759,90
Aremark Senterparti;1;118;Kommune;2011;272;34,7;6;2013;1 320,00;3 291,20;4 611,20
Aremark Venstre;1;118;Kommune;2011;80;10,2;2;2013;1 320,00;968,00;2 288,00
Marker Arbeiderparti;1;119;Kommune;2011;884;47;12;2013;1 320,00;10 696,40;12 016,40
Fremskrittspartiet i Marker;1;119;Kommune;2011;79;4,2;1;2013;1 320,00;955,90;2 275,90
Marker Høyre;1;119;Kommune;2011;254;13,5;3;2013;1 320,00;3 073,40;4 393,40
Marker KrF;1;119;Kommune;2011;243;12,9;3;2013;1 320,00;2 940,30;4 260,30
Marker Senterparti;1;119;Kommune;2011;422;22,4;6;2013;1 320,00;5 106,20;6 426,20
Rømskog  Arbeiderparti;1;121;Kommune;2011;120;27,8;4;2013;1 320,00;1 452,00;2 772,00
Rømskog Fremskrittsparti;1;121;Kommune;2011;38;8,8;1;2013;1 320,00;459,80;1 779,80
Rømskog KrF;1;121;Kommune;2011;136;31,5;4;2013;1 320,00;1 645,60;2 965,60
Rømskog Senterparti;1;121;Kommune;2011;138;31,9;4;2013;1 320,00;1 669,80;2 989,80
Trøgstad  Arbeiderparti;1;122;Kommune;2011;637;25,9;6;2013;1 320,00;7 707,70;9 027,70
Trøgstad Fremskrittsparti;1;122;Kommune;2011;354;14,4;3;2013;1 320,00;4 283,40;5 603,40
Trøgstad Høyre;1;122;Kommune;2011;384;15,6;3;2013;1 320,00;4 646,40;5 966,40
Trøgstad KrF;1;122;Kommune;2011;142;5,8;1;2013;1 320,00;1 718,20;3 038,20
Trøgstad Senterparti;1;122;Kommune;2011;875;35,5;8;2013;1 320,00;10 587,50;11 907,50
TRØGSTAD VENSTRE;1;122;Kommune;2011;70;2,8;0;2013;0,00;847,00;847,00
Spydeberg  Arbeiderparti;1;123;Kommune;2011;628;24,4;5;2013;1 320,00;7 598,80;8 918,80
Spydeberg Fremskrittsparti;1;123;Kommune;2011;358;13,9;3;2013;1 320,00;4 331,80;5 651,80
Spydeberg Høyre;1;123;Kommune;2011;581;22,5;5;2013;1 320,00;7 030,10;8 350,10
Spydeberg KrF;1;123;Kommune;2011;289;11,2;3;2013;1 320,00;3 496,90;4 816,90
Spydeberg Senterparti;1;123;Kommune;2011;487;18,9;4;2013;1 320,00;5 892,70;7 212,70
SPYDEBERG VENSTRE;1;123;Kommune;2011;162;6,3;1;2013;1 320,00;1 960,20;3 280,20
Askim  Arbeiderparti;1;124;Kommune;2011;2400;36,2;13;2013;1 320,00;29 040,00;30 360,00
Askim Fremskrittsparti;1;124;Kommune;2011;756;11,4;4;2013;1 320,00;9 147,60;10 467,60
Askim Høyre;1;124;Kommune;2011;2081;31,4;11;2013;1 320,00;25 180,10;26 500,10
Askim KrF;1;124;Kommune;2011;402;6,1;2;2013;1 320,00;4 864,20;6 184,20
Askim Senterparti;1;124;Kommune;2011;276;4,2;1;2013;1 320,00;3 339,60;4 659,60
Askim Og Omegn Sv;1;124;Kommune;2011;203;3,1;1;2013;1 320,00;2 456,30;3 776,30
ASKIM VENSTRE;1;124;Kommune;2011;222;3,3;1;2013;1 320,00;2 686,20;4 006,20
Eidsberg  Arbeiderparti;1;125;Kommune;2011;1016;20,2;7;2013;1 320,00;12 293,60;13 613,60
Eidsberg Fremskrittsparti;1;125;Kommune;2011;383;7,6;3;2013;1 320,00;4 634,30;5 954,30
Eidsberg Høyre;1;125;Kommune;2011;2168;43,1;15;2013;1 320,00;26 232,80;27 552,80
Eidsberg KrF;1;125;Kommune;2011;296;5,9;2;2013;1 320,00;3 581,60;4 901,60
Eidsberg Senterparti;1;125;Kommune;2011;723;14,4;5;2013;1 320,00;8 748,30;10 068,30
Eidsberg Sv;1;125;Kommune;2011;133;2,6;1;2013;1 320,00;1 609,30;2 929,30
EIDSBERG VENSTRE;1;125;Kommune;2011;313;6,2;2;2013;1 320,00;3 787,30;5 107,30
Skiptvet  Arbeiderparti;1;127;Kommune;2011;754;46,1;9;2013;1 320,00;9 123,40;10 443,40
Skiptvet Fremskrittsparti;1;127;Kommune;2011;134;8,2;2;2013;1 320,00;1 621,40;2 941,40
Skiptvet Høyre;1;127;Kommune;2011;280;17,1;4;2013;1 320,00;3 388,00;4 708,00
Skiptvet KrF;1;127;Kommune;2011;142;8,7;2;2013;1 320,00;1 718,20;3 038,20
Skiptvet Senterparti;1;127;Kommune;2011;327;20;4;2013;1 320,00;3 956,70;5 276,70
Rakkestad  Arbeiderparti;1;128;Kommune;2011;847;24,5;6;2013;1 320,00;10 248,70;11 568,70
Rakkestad Fremskrittsparti;1;128;Kommune;2011;325;9,4;2;2013;1 320,00;3 932,50;5 252,50
Rakkestad Høyre;1;128;Kommune;2011;299;8,7;2;2013;1 320,00;3 617,90;4 937,90
Rakkestad KrF;1;128;Kommune;2011;481;13,9;4;2013;1 320,00;5 820,10;7 140,10
Rakkestad Senterparti;1;128;Kommune;2011;896;26;7;2013;1 320,00;10 841,60;12 161,60
RAKKESTAD VENSTRE;1;128;Kommune;2011;550;15,9;4;2013;1 320,00;6 655,00;7 975,00
Råde  Arbeiderparti;1;135;Kommune;2011;985;26,7;7;2013;1 320,00;11 918,50;13 238,50
Råde Fremskrittsparti;1;135;Kommune;2011;769;20,9;6;2013;1 320,00;9 304,90;10 624,90
Råde Høyre;1;135;Kommune;2011;821;22,3;6;2013;1 320,00;9 934,10;11 254,10
Råde KrF;1;135;Kommune;2011;308;8,4;2;2013;1 320,00;3 726,80;5 046,80
Råde Senterparti;1;135;Kommune;2011;432;11,7;3;2013;1 320,00;5 227,20;6 547,20
RÅDE VENSTRE;1;135;Kommune;2011;373;10,1;3;2013;1 320,00;4 513,30;5 833,30
Rygge  Arbeiderparti;1;136;Kommune;2011;2194;31,2;8;2013;1 320,00;26 547,40;27 867,40
Rygge Fremskrittsparti;1;136;Kommune;2011;1010;14,4;4;2013;1 320,00;12 221,00;13 541,00
Rygge Høyre;1;136;Kommune;2011;1945;27,7;8;2013;1 320,00;23 534,50;24 854,50
Rygge KrF;1;136;Kommune;2011;368;5,2;1;2013;1 320,00;4 452,80;5 772,80
Rygge Senterparti;1;136;Kommune;2011;200;2,8;1;2013;1 320,00;2 420,00;3 740,00
Rygge Sv;1;136;Kommune;2011;323;4,6;1;2013;1 320,00;3 908,30;5 228,30
RYGGE VENSTRE;1;136;Kommune;2011;719;10,2;3;2013;1 320,00;8 699,90;10 019,90
Våler Fremskrittsparti;1;137;Kommune;2011;406;19,2;4;2013;1 320,00;4 912,60;6 232,60
Våler Høyre;1;137;Kommune;2011;532;25,1;5;2013;1 320,00;6 437,20;7 757,20
Våler KrF;1;137;Kommune;2011;150;7,1;2;2013;1 320,00;1 815,00;3 135,00
Våler Senterparti;1;137;Kommune;2011;564;26,6;6;2013;1 320,00;6 824,40;8 144,40
Våler Sv;1;137;Kommune;2011;63;3;0;2013;0,00;762,30;762,30
Hobøl  Arbeiderparti;1;138;Kommune;2011;701;30,3;6;2013;1 320,00;8 482,10;9 802,10
Hobøl Fremskrittsparti;1;138;Kommune;2011;525;22,7;5;2013;1 320,00;6 352,50;7 672,50
Hobøl Høyre;1;138;Kommune;2011;429;18,5;4;2013;1 320,00;5 190,90;6 510,90
Hobøl KrF;1;138;Kommune;2011;140;6;1;2013;1 320,00;1 694,00;3 014,00
Hobøl Senterparti;1;138;Kommune;2011;214;9,2;2;2013;1 320,00;2 589,40;3 909,40
HOBØL VENSTRE;1;138;Kommune;2011;308;13,3;3;2013;1 320,00;3 726,80;5 046,80
Akershus Arbeiderparti;2;200;Fylke;2011;78489;31;14;2013;48 107,00;2 205 540,90;2 253 647,90
Akershus AUF;2;200;FylkesUngdom;2011;0;0;0;2013;0,00;696 982,32;696 982,32
Demokratene i Akershus;2;200;Fylke;2011;465;0,2;0;2013;0,00;13 066,50;13 066,50
Akershus Fremskrittpartiets Ungdom;2;200;FylkesUngdom;2011;0;0;0;2013;0,00;265 707,36;265 707,36
Akershus Fremskrittsparti;2;200;Fylke;2011;29922;11,8;5;2013;48 107,00;840 808,20;888 915,20
Akershus Unge Høyre;2;200;FylkesUngdom;2011;0;0;0;2013;0,00;817 448,40;817 448,40
Akershus Høyre;2;200;Fylke;2011;92055;36,4;17;2013;48 107,00;2 586 745,50;2 634 852,50
Akershus Kristelig Folkepartis Ungdom;2;200;FylkesUngdom;2011;0;0;0;2013;0,00;73 260,00;73 260,00
Akershus Kristelig Folkeparti;2;200;Fylke;2011;8250;3,3;1;2013;48 107,00;231 825,00;279 932,00
Akershus Kristent Samlingsparti;2;200;Fylke;2011;383;0;0;2013;0,00;10 762,30;10 762,30
Kystpartiets Ungdom i Akershus;2;200;FylkesUngdom;2011;0;0;0;2013;0,00;1 900,32;1 900,32
Kystpartiet i Akershus;2;200;Fylke;2011;214;0,1;0;2013;0,00;6 013,40;6 013,40
Miljøpartiet De Grønne;2;200;Fylke;2011;3429;1,4;0;2013;0,00;96 354,90;96 354,90
Grønn Ungdom i Akershus;2;200;FylkesUngdom;2011;0;0;0;2013;0,00;30 449,52;30 449,52
Akershus Pensjonistparti;2;200;Fylke;2011;3133;1,2;0;2013;0,00;88 037,30;88 037,30
Rødt Akershus;2;200;Fylke;2011;2779;1,1;0;2013;0,00;78 089,90;78 089,90
Akershus Rød Ungdom;2;200;FylkesUngdom;2011;0;0;0;2013;0,00;24 677,52;24 677,52
Akershus Senterungdom;2;200;FylkesUngdom;2011;0;0;0;2013;0,00;67 745,52;67 745,52
Akershus Senterparti;2;200;Fylke;2011;7629;3;1;2013;48 107,00;214 374,90;262 481,90
Akershus SU;2;200;FylkesUngdom;2011;0;0;0;2013;0,00;93 746,16;93 746,16
Akershus SV;2;200;Fylke;2011;10557;4,2;2;2013;48 107,00;296 651,70;344 758,70
AKERSHUS VENSTRE;2;200;Fylke;2011;15790;6,2;3;2013;48 107,00;443 699,00;491 806,00
AKERSHUS UNGE VENSTRE;2;200;FylkesUngdom;2011;0;0;0;2013;0,00;140 215,20;140 215,20
Vestby  Arbeiderparti;2;211;Kommune;2011;2348;31,2;11;2013;1 320,00;28 410,80;29 730,80
Vestby Fremskrittsparti;2;211;Kommune;2011;687;9,1;3;2013;1 320,00;8 312,70;9 632,70
Vestby Høyre;2;211;Kommune;2011;2876;38,2;14;2013;1 320,00;34 799,60;36 119,60
Vestby KrF;2;211;Kommune;2011;222;3;1;2013;1 320,00;2 686,20;4 006,20
Miljøpartiet De Grønne Vestby;2;211;Kommune;2011;69;0,9;0;2013;0,00;834,90;834,90
Vestby Senterparti;2;211;Kommune;2011;445;5,9;2;2013;1 320,00;5 384,50;6 704,50
Vestby SV;2;211;Kommune;2011;360;4,8;2;2013;1 320,00;4 356,00;5 676,00
VESTBY VENSTRE;2;211;Kommune;2011;458;6,1;2;2013;1 320,00;5 541,80;6 861,80
Ski  Arbeiderparti;2;213;Kommune;2011;4585;32,2;13;2013;1 320,00;55 478,50;56 798,50
Ski Fremskrittsparti;2;213;Kommune;2011;1527;10,7;5;2013;1 320,00;18 476,70;19 796,70
Ski Høyre;2;213;Kommune;2011;5048;35,5;15;2013;1 320,00;61 080,80;62 400,80
Ski KrF;2;213;Kommune;2011;489;3,4;1;2013;1 320,00;5 916,90;7 236,90
Miljøpartiet De Grønne Ski, Akershus;2;213;Kommune;2011;163;1,1;0;2013;0,00;1 972,30;1 972,30
Ski Pensjonistparti;2;213;Kommune;2011;318;2,2;1;2013;1 320,00;3 847,80;5 167,80
Ski Rødt;2;213;Kommune;2011;206;1,4;0;2013;0,00;2 492,60;2 492,60
Ski Senterparti;2;213;Kommune;2011;362;2,5;1;2013;1 320,00;4 380,20;5 700,20
Ski SV;2;213;Kommune;2011;614;4,3;2;2013;1 320,00;7 429,40;8 749,40
SKI VENSTRE;2;213;Kommune;2011;927;6,5;3;2013;1 320,00;11 216,70;12 536,70
Ås  Arbeiderparti;2;214;Kommune;2011;2456;30,5;10;2013;1 320,00;29 717,60;31 037,60
Ås Fremskrittsparti;2;214;Kommune;2011;837;10,4;4;2013;1 320,00;10 127,70;11 447,70
Ås Høyre;2;214;Kommune;2011;2004;24,9;8;2013;1 320,00;24 248,40;25 568,40
Ås KrF;2;214;Kommune;2011;316;3,9;1;2013;1 320,00;3 823,60;5 143,60
Miljøpartiet De Grønne Ås;2;214;Kommune;2011;197;2,4;1;2013;1 320,00;2 383,70;3 703,70
Ås Senterparti;2;214;Kommune;2011;739;9,2;3;2013;1 320,00;8 941,90;10 261,90
Ås SV;2;214;Kommune;2011;732;9,1;3;2013;1 320,00;8 857,20;10 177,20
ÅS VENSTRE;2;214;Kommune;2011;782;9,7;3;2013;1 320,00;9 462,20;10 782,20
Frogn  Arbeiderparti;2;215;Kommune;2011;1855;23,6;7;2013;1 320,00;22 445,50;23 765,50
Frogn Fremskrittsparti;2;215;Kommune;2011;667;8,5;3;2013;1 320,00;8 070,70;9 390,70
Frogn Høyre;2;215;Kommune;2011;2480;31,5;10;2013;1 320,00;30 008,00;31 328,00
Frogn KrF;2;215;Kommune;2011;545;6,9;2;2013;1 320,00;6 594,50;7 914,50
Frogn Pensjonistparti;2;215;Kommune;2011;380;4,8;1;2013;1 320,00;4 598,00;5 918,00
Frogn Senterparti;2;215;Kommune;2011;279;3,5;1;2013;1 320,00;3 375,90;4 695,90
Frogn SV;2;215;Kommune;2011;400;5,1;2;2013;1 320,00;4 840,00;6 160,00
FROGN VENSTRE;2;215;Kommune;2011;1258;16;5;2013;1 320,00;15 221,80;16 541,80
Nesodden  Arbeiderparti;2;216;Kommune;2011;2550;27,6;9;2013;1 320,00;30 855,00;32 175,00
Nesodden Fremskrittsparti;2;216;Kommune;2011;565;6,1;2;2013;1 320,00;6 836,50;8 156,50
Nesodden Høyre;2;216;Kommune;2011;2505;27,1;8;2013;1 320,00;30 310,50;31 630,50
Nesodden KrF;2;216;Kommune;2011;407;4,4;1;2013;1 320,00;4 924,70;6 244,70
Miljøpartiet De Grønne;2;216;Kommune;2011;462;5;2;2013;1 320,00;5 590,20;6 910,20
Rødt Nesodden ;2;216;Kommune;2011;535;5,8;2;2013;1 320,00;6 473,50;7 793,50
Senterpartiet;2;216;Kommune;2011;58;0,6;0;2013;0,00;701,80;701,80
Nesodden SV;2;216;Kommune;2011;1562;16,9;5;2013;1 320,00;18 900,20;20 220,20
NESODDEN VENSTRE;2;216;Kommune;2011;579;6,3;2;2013;1 320,00;7 005,90;8 325,90
Oppegård  Arbeiderparti;2;217;Kommune;2011;3477;25,3;8;2013;1 320,00;42 071,70;43 391,70
Oppegård Fremskrittsparti;2;217;Kommune;2011;1050;7,6;2;2013;1 320,00;12 705,00;14 025,00
Oppegård Høyre;2;217;Kommune;2011;6661;48,4;16;2013;1 320,00;80 598,10;81 918,10
Oppegård KrF;2;217;Kommune;2011;608;4,4;1;2013;1 320,00;7 356,80;8 676,80
Miljøpartiet De Grønne Oppegård;2;217;Kommune;2011;122;0,9;0;2013;0,00;1 476,20;1 476,20
Oppegård Rødt;2;217;Kommune;2011;81;0,6;0;2013;0,00;980,10;980,10
Senterpartiet;2;217;Kommune;2011;80;0,6;0;2013;0,00;968,00;968,00
Oppegård Sv;2;217;Kommune;2011;646;4,7;2;2013;1 320,00;7 816,60;9 136,60
OPPEGÅRD VENSTRE;2;217;Kommune;2011;1036;7,5;2;2013;1 320,00;12 535,60;13 855,60
Bærum  Arbeiderparti;2;219;Kommune;2011;12475;21,1;11;2013;1 320,00;150 947,50;152 267,50
Bærum Fremskrittsparti;2;219;Kommune;2011;4599;7,8;4;2013;1 320,00;55 647,90;56 967,90
Bærum Høyre;2;219;Kommune;2011;30296;51,3;27;2013;1 320,00;366 581,60;367 901,60
Bærum KrF;2;219;Kommune;2011;1552;2,6;1;2013;1 320,00;18 779,20;20 099,20
Miljøpartiet De Grønne;2;219;Kommune;2011;699;1,2;0;2013;0,00;8 457,90;8 457,90
Bærum Pensjonistparti;2;219;Kommune;2011;954;1,6;1;2013;1 320,00;11 543,40;12 863,40
Bærum Rødt;2;219;Kommune;2011;662;1,1;0;2013;0,00;8 010,20;8 010,20
Bærum Senterparti;2;219;Kommune;2011;482;0,8;0;2013;0,00;5 832,20;5 832,20
Bærum SV;2;219;Kommune;2011;1998;3,4;2;2013;1 320,00;24 175,80;25 495,80
BÆRUM VENSTRE;2;219;Kommune;2011;5380;9,1;5;2013;1 320,00;65 098,00;66 418,00
Asker  Arbeiderparti;2;220;Kommune;2011;5731;20;10;2013;1 320,00;69 345,10;70 665,10
Asker Fremskrittsparti;2;220;Kommune;2011;2300;8;4;2013;1 320,00;27 830,00;29 150,00
Asker Høyre;2;220;Kommune;2011;14901;51,9;25;2013;1 320,00;180 302,10;181 622,10
Asker KrF;2;220;Kommune;2011;789;2,7;1;2013;1 320,00;9 546,90;10 866,90
Asker Pensjonistparti;2;220;Kommune;2011;528;1,8;1;2013;1 320,00;6 388,80;7 708,80
Rødt Asker;2;220;Kommune;2011;247;0,9;0;2013;0,00;2 988,70;2 988,70
Asker Senterparti;2;220;Kommune;2011;307;1,1;0;2013;0,00;3 714,70;3 714,70
Asker SV;2;220;Kommune;2011;828;2,9;1;2013;1 320,00;10 018,80;11 338,80
ASKER VENSTRE;2;220;Kommune;2011;2024;7,1;3;2013;1 320,00;24 490,40;25 810,40
Aurskog/Høland  Arb.Parti;2;221;Kommune;2011;2675;37,1;13;2013;1 320,00;32 367,50;33 687,50
Aurskog-Høland Fremskrittsparti;2;221;Kommune;2011;1506;20,9;7;2013;1 320,00;18 222,60;19 542,60
Aurskog-Høland Høyre;2;221;Kommune;2011;1244;17,3;6;2013;1 320,00;15 052,40;16 372,40
Aurskog-Høland KrF;2;221;Kommune;2011;560;7,8;3;2013;1 320,00;6 776,00;8 096,00
Aurskog-Høland Senterparti;2;221;Kommune;2011;921;12,8;5;2013;1 320,00;11 144,10;12 464,10
AURSKOG HØLAND VENSTRE;2;221;Kommune;2011;126;1,7;0;2013;0,00;1 524,60;1 524,60
Sørum  Arbeiderparti;2;226;Kommune;2011;3133;40,3;13;2013;1 320,00;37 909,30;39 229,30
Sørum Fremskrittsparti;2;226;Kommune;2011;917;11,8;4;2013;1 320,00;11 095,70;12 415,70
Sørum Høyre;2;226;Kommune;2011;2232;28,7;9;2013;1 320,00;27 007,20;28 327,20
Sørum KrF;2;226;Kommune;2011;319;4,1;1;2013;1 320,00;3 859,90;5 179,90
Sørum Senterparti;2;226;Kommune;2011;600;7,7;2;2013;1 320,00;7 260,00;8 580,00
Sørum Sv;2;226;Kommune;2011;288;3,7;1;2013;1 320,00;3 484,80;4 804,80
Venstre;2;226;Kommune;2011;283;3,6;1;2013;1 320,00;3 424,30;4 744,30
Fet  Arbeiderparti;2;227;Kommune;2011;2053;39,3;11;2013;1 320,00;24 841,30;26 161,30
Fet Fremskrittsparti;2;227;Kommune;2011;835;16;4;2013;1 320,00;10 103,50;11 423,50
Fet Høyre;2;227;Kommune;2011;1329;25,4;7;2013;1 320,00;16 080,90;17 400,90
Miljøpartiet De Grønne Fet;2;227;Kommune;2011;103;2;0;2013;0,00;1 246,30;1 246,30
Fet Senterparti;2;227;Kommune;2011;406;7,8;2;2013;1 320,00;4 912,60;6 232,60
Fet Sv;2;227;Kommune;2011;180;3,4;1;2013;1 320,00;2 178,00;3 498,00
FET VENSTRE;2;227;Kommune;2011;320;6,1;2;2013;1 320,00;3 872,00;5 192,00
Rælingen  Arbeiderparti;2;228;Kommune;2011;4095;54,7;20;2013;1 320,00;49 549,50;50 869,50
Rælingen Fremskrittsparti;2;228;Kommune;2011;799;10,7;4;2013;1 320,00;9 667,90;10 987,90
Rælingen Høyre;2;228;Kommune;2011;1694;22,6;8;2013;1 320,00;20 497,40;21 817,40
Rælingen KrF;2;228;Kommune;2011;248;3,3;1;2013;1 320,00;3 000,80;4 320,80
Rødt Rælingen;2;228;Kommune;2011;49;0,7;0;2013;0,00;592,90;592,90
Rælingen Senterparti;2;228;Kommune;2011;114;1,5;0;2013;0,00;1 379,40;1 379,40
Rælingen Sv;2;228;Kommune;2011;221;3;1;2013;1 320,00;2 674,10;3 994,10
RÆLINGEN VENSTRE;2;228;Kommune;2011;260;3,5;1;2013;1 320,00;3 146,00;4 466,00
Enebakk  Arbeiderparti;2;229;Kommune;2011;1234;25,8;7;2013;1 320,00;14 931,40;16 251,40
Enebakk Fremskrittsparti;2;229;Kommune;2011;1090;22,8;6;2013;1 320,00;13 189,00;14 509,00
