prosjekt,prosjekt_tekst,teneste,teneste_tekst,konto,konto_tekst,rekneskap_2011,budsjett_2012,budsjett_2013
1009,Bypark 2008,33510,Parkar og grøntanlegg,9109,Bruk av lån - inv.rekneskapet m/spes,"2482453,17",0,0
1009,Bypark 2008,33510,Parkar og grøntanlegg,9700,Overføringar frå driftsrekneskapet,"-36308,42",0,0
1009,Bypark 2008,87000,Renter/utbytte og lån,9009,Renteinntekter m/spes,-37285,0,0
1011,Oppgradering Agresso 2008,12010,Administrativ leiing,3500,Kjøp av tenester frå kommunar,770000,0,0
1011,Oppgradering Agresso 2008,87000,Renter/utbytte og lån,9109,Bruk av lån - inv.rekneskapet m/spes,-770000,0,0
1012,SYS SKLAN,12053,Interkommunalt IKT-samarbeid,1500,"Opplæring, kurs/seminar",103275,0,0
1012,SYS SKLAN,12053,Interkommunalt IKT-samarbeid,1957,Lisensar,154504,0,0
1012,SYS SKLAN,12053,Interkommunalt IKT-samarbeid,2000,Kjøp og finansiell leasing av driftsmidlar,542972,0,0
1012,SYS SKLAN,12053,Interkommunalt IKT-samarbeid,2700,Andre tenester (som inngår i eigenproduksjon),7740,0,0
1012,SYS SKLAN,12053,Interkommunalt IKT-samarbeid,4290,Merverdiavgift som gir rett til momskompensasjon,"180702,75",0,0
1012,SYS SKLAN,12053,Interkommunalt IKT-samarbeid,9580,Bruk av bundne investeringsfond,-808491,0,0
1012,SYS SKLAN,12053,Interkommunalt IKT-samarbeid,9700,Overføringar frå driftsrekneskapet,"-72281,1",0,0
1012,SYS SKLAN,12053,Interkommunalt IKT-samarbeid,9701,Overføringar frå driftsrek. Etter K.vedtak,"-108421,65",0,0
1014,Parkeringsfond,30200,Byggesaksbehandling og seksjonering,5500,Avsetnader til bundne fond,5520000,0,0
1014,Parkeringsfond,30200,Byggesaksbehandling og seksjonering,7700,Refusjon frå andre (private),-2910000,0,0
1014,Parkeringsfond,30200,Byggesaksbehandling og seksjonering,9580,Bruk av bundne investeringsfond,-2610000,0,0
1014,Parkeringsfond,87000,Renter/utbytte og lån,5500,Avsetnader til bundne fond,205334,0,0
1014,Parkeringsfond,87000,Renter/utbytte og lån,9009,Renteinntekter m/spes,-205334,0,0
1015,"Sentralbord/telefon, 2009",22220,Drift og vedlikehald av skulelokale,2700,Andre tenester (som inngår i eigenproduksjon),200000,0,0
1015,"Sentralbord/telefon, 2009",22220,Drift og vedlikehald av skulelokale,4290,Merverdiavgift som gir rett til momskompensasjon,50000,0,0
1015,"Sentralbord/telefon, 2009",22220,Drift og vedlikehald av skulelokale,5001,Morarenter,"1272,62",0,0
1015,"Sentralbord/telefon, 2009",22220,Drift og vedlikehald av skulelokale,9109,Bruk av lån - inv.rekneskapet m/spes,"-231272,62",0,0
1015,"Sentralbord/telefon, 2009",22220,Drift og vedlikehald av skulelokale,9700,Overføringar frå driftsrekneskapet,-20000,0,0
1016,Tilfluktsrom,87000,Renter/utbytte og lån,5500,Avsetnader til bundne fond,"238073,17",0,0
1016,Tilfluktsrom,87000,Renter/utbytte og lån,9009,Renteinntekter m/spes,-7479,0,0
1016,Tilfluktsrom,87000,Renter/utbytte og lån,9480,Bruk av ubundne investeringsfond,"-230594,17",0,0
1019,Grunnerverv Hafstad bydel 2009,31500,Bustadbyggjing og fysiske bumiljøtiltak,1400,"Annonse, reklame og informasjon",5260,0,0
1019,Grunnerverv Hafstad bydel 2009,31500,Bustadbyggjing og fysiske bumiljøtiltak,2701,Konsulenttenester,2500,0,0
1019,Grunnerverv Hafstad bydel 2009,31500,Bustadbyggjing og fysiske bumiljøtiltak,4290,Merverdiavgift som gir rett til momskompensasjon,1940,0,0
1019,Grunnerverv Hafstad bydel 2009,31500,Bustadbyggjing og fysiske bumiljøtiltak,7700,Refusjon frå andre (private),-7760,0,0
1019,Grunnerverv Hafstad bydel 2009,31500,Bustadbyggjing og fysiske bumiljøtiltak,9700,Overføringar frå driftsrekneskapet,-1940,0,0
1021,Omsorgsbustadar ved Helsetunet 2010,26100,Institusjonslokale,100,Fast løn,"3919,8",0,0
1021,Omsorgsbustadar ved Helsetunet 2010,26100,Institusjonslokale,990,Arbeidsgjevaravgift,"552,69",0,0
1021,Omsorgsbustadar ved Helsetunet 2010,26100,Institusjonslokale,2302,Byggetenester,"16634278,2",0,0
1021,Omsorgsbustadar ved Helsetunet 2010,26100,Institusjonslokale,2701,Konsulenttenester,"850,4",0,0
1021,Omsorgsbustadar ved Helsetunet 2010,26100,Institusjonslokale,4290,Merverdiavgift som gir rett til momskompensasjon,"4158782,15",0,0
1021,Omsorgsbustadar ved Helsetunet 2010,26100,Institusjonslokale,8102,"Statstilskot, øyremerka",0,-316788,0
1021,Omsorgsbustadar ved Helsetunet 2010,26100,Institusjonslokale,9700,Overføringar frå driftsrekneskapet,"-1663512,86",0,0
1021,Omsorgsbustadar ved Helsetunet 2010,26100,Institusjonslokale,9701,Overføringar frå driftsrek. Etter K.vedtak,"-2495269,29",0,0
1021,Omsorgsbustadar ved Helsetunet 2010,26550,Drift og vedlikehald kom. disp. bustader,2302,Byggetenester,"11847639,2",0,0
1021,Omsorgsbustadar ved Helsetunet 2010,26550,Drift og vedlikehald kom. disp. bustader,2700,Andre tenester (som inngår i eigenproduksjon),22720,0,0
1021,Omsorgsbustadar ved Helsetunet 2010,26550,Drift og vedlikehald kom. disp. bustader,2701,Konsulenttenester,700,0,0
1021,Omsorgsbustadar ved Helsetunet 2010,26550,Drift og vedlikehald kom. disp. bustader,4290,Merverdiavgift som gir rett til momskompensasjon,"2939608,55",0,0
1021,Omsorgsbustadar ved Helsetunet 2010,26550,Drift og vedlikehald kom. disp. bustader,9700,Overføringar frå driftsrekneskapet,"-1175843,42",0,0
1021,Omsorgsbustadar ved Helsetunet 2010,26550,Drift og vedlikehald kom. disp. bustader,9701,Overføringar frå driftsrek. Etter K.vedtak,"-1763765,13",0,0
1021,Omsorgsbustadar ved Helsetunet 2010,26550,Drift og vedlikehald kom. disp. bustader,9800,Rekneskapsmessig meirforbruk,"-316787,76",0,0
1021,Omsorgsbustadar ved Helsetunet 2010,87000,Renter/utbytte og lån,5009,"Renteutgifter, provisjonar o.a. finansutg m/spes","534127,47",0,0
1021,Omsorgsbustadar ved Helsetunet 2010,87000,Renter/utbytte og lån,9109,Bruk av lån - inv.rekneskapet m/spes,-28728000,0,0
1021,Omsorgsbustadar ved Helsetunet 2010,88000,Interne finansieringstransaksjonar,5300,Dekning av tidl. års udekka,0,316788,0
1023,SYS-FSRV-2009,12053,Interkommunalt IKT-samarbeid,7500,Refusjon frå kommunar,596344,0,0
1023,SYS-FSRV-2009,12053,Interkommunalt IKT-samarbeid,9580,Bruk av bundne investeringsfond,-596344,0,0
1027,"Hafstadvegen 11 nr. 5, 2010",87000,Renter/utbytte og lån,9109,Bruk av lån - inv.rekneskapet m/spes,-2026062,0,0
1027,"Hafstadvegen 11 nr. 5, 2010",88000,Interne finansieringstransaksjonar,5300,Dekning av tidl. års udekka,2026062,0,0
1028,"Langebruvegen 8-10, 2010",87000,Renter/utbytte og lån,9109,Bruk av lån - inv.rekneskapet m/spes,"-428873,77",0,0
1028,"Langebruvegen 8-10, 2010",88000,Interne finansieringstransaksjonar,5300,Dekning av tidl. års udekka,"428873,77",0,0
1029,Omsorgsbustader Steinavegen 2012,26100,Institusjonslokale,100,Fast løn,"2908,24",0,0
1029,Omsorgsbustader Steinavegen 2012,26100,Institusjonslokale,990,Arbeidsgjevaravgift,"410,06",0,0
1029,Omsorgsbustader Steinavegen 2012,26100,Institusjonslokale,2701,Konsulenttenester,5200,0,0
1029,Omsorgsbustader Steinavegen 2012,26100,Institusjonslokale,2702,Juridisk hjelp,"11076,8",0,0
1029,Omsorgsbustader Steinavegen 2012,26100,Institusjonslokale,4290,Merverdiavgift som gir rett til momskompensasjon,"4069,2",0,0
1029,Omsorgsbustader Steinavegen 2012,26100,Institusjonslokale,9700,Overføringar frå driftsrekneskapet,"-1627,68",0,0
1029,Omsorgsbustader Steinavegen 2012,26100,Institusjonslokale,9800,Rekneskapsmessig meirforbruk,"-22036,62",0,0
1029,Omsorgsbustader Steinavegen 2012,26500,Kommunalt disponerte bustadar,2302,Byggetenester,0,16240000,0
1029,Omsorgsbustader Steinavegen 2012,26500,Kommunalt disponerte bustadar,4290,Merverdiavgift som gir rett til momskompensasjon,0,4060000,0
1029,Omsorgsbustader Steinavegen 2012,26500,Kommunalt disponerte bustadar,8101,"Statstilskot, investeringstilskot",0,-6090000,0
1029,Omsorgsbustader Steinavegen 2012,26500,Kommunalt disponerte bustadar,9109,Bruk av lån - inv.rekneskapet m/spes,0,-11774000,0
1029,Omsorgsbustader Steinavegen 2012,26500,Kommunalt disponerte bustadar,9700,Overføringar frå driftsrekneskapet,0,-2436000,0
1029,Omsorgsbustader Steinavegen 2012,87000,Renter/utbytte og lån,9109,Bruk av lån - inv.rekneskapet m/spes,0,-22037,0
1029,Omsorgsbustader Steinavegen 2012,88000,Interne finansieringstransaksjonar,5300,Dekning av tidl. års udekka,0,22037,0
1030,Rådhus hovudprosjekt 2010,13000,Administrasjonslokale,500,Anna løn og trekkpliktige godtgjersler,0,500000,0
1030,Rådhus hovudprosjekt 2010,13000,Administrasjonslokale,1400,"Annonse, reklame og informasjon",8590,0,0
1030,Rådhus hovudprosjekt 2010,13000,Administrasjonslokale,1900,Leige av lokale og grunn,500,0,0
1030,Rådhus hovudprosjekt 2010,13000,Administrasjonslokale,2302,Byggetenester,2591350,13032126,0
1030,Rådhus hovudprosjekt 2010,13000,Administrasjonslokale,2307,Motpost fordelte utgifter,450000,0,0
1030,Rådhus hovudprosjekt 2010,13000,Administrasjonslokale,2700,Andre tenester (som inngår i eigenproduksjon),"8993640,98",0,0
1030,Rådhus hovudprosjekt 2010,13000,Administrasjonslokale,2701,Konsulenttenester,"2567402,36",0,0
1030,Rådhus hovudprosjekt 2010,13000,Administrasjonslokale,4290,Merverdiavgift som gir rett til momskompensasjon,"3537695,88",2311869,0
1030,Rådhus hovudprosjekt 2010,13000,Administrasjonslokale,5000,"Renteutgifter, provisjonar og andre finansutgifter",0,3919468,0
1030,Rådhus hovudprosjekt 2010,13000,Administrasjonslokale,5001,Morarenter,"1531,64",0,0
1030,Rådhus hovudprosjekt 2010,13000,Administrasjonslokale,9109,Bruk av lån - inv.rekneskapet m/spes,0,-17955180,0
1030,Rådhus hovudprosjekt 2010,13000,Administrasjonslokale,9700,Overføringar frå driftsrekneskapet,"-1415078,33",-1658283,0
1030,Rådhus hovudprosjekt 2010,13000,Administrasjonslokale,9701,Overføringar frå driftsrek. Etter K.vedtak,"-2122617,55",0,0
1030,Rådhus hovudprosjekt 2010,13000,Administrasjonslokale,9702,Overføringar frå driftsrek.Etter Adm.vedtak,0,-150000,0
1030,Rådhus hovudprosjekt 2010,87000,Renter/utbytte og lån,5009,"Renteutgifter, provisjonar o.a. finansutg m/spes","272339,92",0,0
1030,Rådhus hovudprosjekt 2010,87000,Renter/utbytte og lån,9109,Bruk av lån - inv.rekneskapet m/spes,"-14885354,9",0,0
1033,SYS-IKT oppgradering Agresso 2010,29010,SYS-IKT,100,Fast løn,"97170,26",0,0
1033,SYS-IKT oppgradering Agresso 2010,29010,SYS-IKT,903,Pensjonsinnskot - KLP,"11278,69",0,0
1033,SYS-IKT oppgradering Agresso 2010,29010,SYS-IKT,990,Arbeidsgjevaravgift,"15291,31",0,0
1033,SYS-IKT oppgradering Agresso 2010,29010,SYS-IKT,1201,"Utgifter, ikkje oppgåvepliktige (løn)","215,38",0,0
1033,SYS-IKT oppgradering Agresso 2010,29010,SYS-IKT,2000,Kjøp og finansiell leasing av driftsmidlar,25676,0,0
1033,SYS-IKT oppgradering Agresso 2010,29010,SYS-IKT,2701,Konsulenttenester,"1074334,59",0,0
1033,SYS-IKT oppgradering Agresso 2010,29010,SYS-IKT,4290,Merverdiavgift som gir rett til momskompensasjon,"275002,64",0,0
1033,SYS-IKT oppgradering Agresso 2010,29010,SYS-IKT,5001,Morarenter,"1156,26",0,0
1033,SYS-IKT oppgradering Agresso 2010,29010,SYS-IKT,7500,Refusjon frå kommunar,"-1226679,4",0,0
1033,SYS-IKT oppgradering Agresso 2010,29010,SYS-IKT,8500,Overføringar frå kommunar,"1556,91",0,0
1033,SYS-IKT oppgradering Agresso 2010,29010,SYS-IKT,9700,Overføringar frå driftsrekneskapet,"-110001,06",0,0
1033,SYS-IKT oppgradering Agresso 2010,29010,SYS-IKT,9701,Overføringar frå driftsrek. Etter K.vedtak,"-165001,58",0,0
1035,Ballbinge Angedalen skule 2009,22220,Drift og vedlikehald av skulelokale,8102,"Statstilskot, øyremerka","52835,75",0,0
1035,Ballbinge Angedalen skule 2009,22220,Drift og vedlikehald av skulelokale,9800,Rekneskapsmessig meirforbruk,"-52835,75",0,0
1035,Ballbinge Angedalen skule 2009,88000,Interne finansieringstransaksjonar,5300,Dekning av tidl. års udekka,0,52836,0
1035,Ballbinge Angedalen skule 2009,88000,Interne finansieringstransaksjonar,9480,Bruk av ubundne investeringsfond,0,-52836,0
1037,Balløkke Flatene skule,20220,Undervisning i grunnskulen,2000,Kjøp og finansiell leasing av driftsmidlar,699863,0,0
1037,Balløkke Flatene skule,20220,Undervisning i grunnskulen,4290,Merverdiavgift som gir rett til momskompensasjon,"174965,75",0,0
1037,Balløkke Flatene skule,20220,Undervisning i grunnskulen,8102,"Statstilskot, øyremerka",-200000,0,0
1037,Balløkke Flatene skule,20220,Undervisning i grunnskulen,9700,Overføringar frå driftsrekneskapet,"-69986,3",0,0
1037,Balløkke Flatene skule,20220,Undervisning i grunnskulen,9800,Rekneskapsmessig meirforbruk,"-604842,45",0,0
1037,Balløkke Flatene skule,88000,Interne finansieringstransaksjonar,5300,Dekning av tidl. års udekka,0,604842,0
1037,Balløkke Flatene skule,88000,Interne finansieringstransaksjonar,9480,Bruk av ubundne investeringsfond,0,-604842,0
1038,"Førdehuset, digital kino - 2010",37300,Kino,1305,Porto og frankering,"3851,2",0,0
1038,"Førdehuset, digital kino - 2010",37300,Kino,2001,Inventar og utstyr,"358590,4",0,0
1038,"Førdehuset, digital kino - 2010",37300,Kino,2306,Inventar og utstyr,"988295,5",0,0
1038,"Førdehuset, digital kino - 2010",37300,Kino,2700,Andre tenester (som inngår i eigenproduksjon),15300,0,0
1038,"Førdehuset, digital kino - 2010",37300,Kino,9800,Rekneskapsmessig meirforbruk,"-771697,57",0,0
1038,"Førdehuset, digital kino - 2010",38600,Kommunale kulturbygg,2302,Byggetenester,"3519,69",0,0
1038,"Førdehuset, digital kino - 2010",38600,Kommunale kulturbygg,2306,Inventar og utstyr,"322707,2",0,0
1038,"Førdehuset, digital kino - 2010",38600,Kommunale kulturbygg,4290,Merverdiavgift som gir rett til momskompensasjon,"74949,3",0,0
1038,"Førdehuset, digital kino - 2010",38600,Kommunale kulturbygg,9700,Overføringar frå driftsrekneskapet,"-29979,72",0,0
1038,"Førdehuset, digital kino - 2010",87000,Renter/utbytte og lån,9109,Bruk av lån - inv.rekneskapet m/spes,-965536,0,0
1038,"Førdehuset, digital kino - 2010",88000,Interne finansieringstransaksjonar,5300,Dekning av tidl. års udekka,0,771698,0
1038,"Førdehuset, digital kino - 2010",88000,Interne finansieringstransaksjonar,9480,Bruk av ubundne investeringsfond,0,-771698,0
1039,Oppgradering Førdehuset - 2009,38560,Kulturhus,2700,Andre tenester (som inngår i eigenproduksjon),"24586,4",0,0
1039,Oppgradering Førdehuset - 2009,38560,Kulturhus,4290,Merverdiavgift som gir rett til momskompensasjon,"6146,6",0,0
1039,Oppgradering Førdehuset - 2009,38600,Kommunale kulturbygg,2302,Byggetenester,"5298050,34",0,0
1039,Oppgradering Førdehuset - 2009,38600,Kommunale kulturbygg,2700,Andre tenester (som inngår i eigenproduksjon),"277650,4",0,0
1039,Oppgradering Førdehuset - 2009,38600,Kommunale kulturbygg,4290,Merverdiavgift som gir rett til momskompensasjon,"184113,05",0,0
1039,Oppgradering Førdehuset - 2009,38600,Kommunale kulturbygg,5500,Avsetnader til bundne fond,1000000,0,0
1039,Oppgradering Førdehuset - 2009,38600,Kommunale kulturbygg,8300,Overføringar frå fylkeskommunar,-5200000,0,0
1039,Oppgradering Førdehuset - 2009,38600,Kommunale kulturbygg,9109,Bruk av lån - inv.rekneskapet m/spes,"8485557,07",0,0
1039,Oppgradering Førdehuset - 2009,38600,Kommunale kulturbygg,9400,Bruk av disposisjonsfond,-10000000,0,0
1039,Oppgradering Førdehuset - 2009,38600,Kommunale kulturbygg,9700,Overføringar frå driftsrekneskapet,"-76103,86",0,0
1043,Restarbeid  Ny sjukeheim,26100,Institusjonslokale,2306,Inventar og utstyr,"195412,6",0,0
1043,Restarbeid  Ny sjukeheim,26100,Institusjonslokale,4290,Merverdiavgift som gir rett til momskompensasjon,"905,4",0,0
1043,Restarbeid  Ny sjukeheim,26100,Institusjonslokale,9480,Bruk av ubundne investeringsfond,"-243537,34",0,0
1043,Restarbeid  Ny sjukeheim,26100,Institusjonslokale,9700,Overføringar frå driftsrekneskapet,"-362,16",0,0
1043,Restarbeid  Ny sjukeheim,33310,Drift og vedlikehald - vegar,2306,Inventar og utstyr,"47581,5",0,0
1044,"Andre ENØK-tiltak, eigenandel",12100,Forvaltningsutgifter i eigedomsforvaltning,2001,Inventar og utstyr,0,0,1600000
1044,"Andre ENØK-tiltak, eigenandel",12100,Forvaltningsutgifter i eigedomsforvaltning,4290,Merverdiavgift som gir rett til momskompensasjon,0,0,400000
1044,"Andre ENØK-tiltak, eigenandel",12100,Forvaltningsutgifter i eigedomsforvaltning,9700,Overføringar frå driftsrekneskapet,0,0,-320000
1044,"Andre ENØK-tiltak, eigenandel",22220,Drift og vedlikehald av skulelokale,7000,Refusjon frå staten,181523,0,0
1044,"Andre ENØK-tiltak, eigenandel",26110,Drift og vedlikehald institusjonslokale,2302,Byggetenester,"202686,4",0,0
1044,"Andre ENØK-tiltak, eigenandel",26110,Drift og vedlikehald institusjonslokale,2306,Inventar og utstyr,"370004,8",0,0
1044,"Andre ENØK-tiltak, eigenandel",26110,Drift og vedlikehald institusjonslokale,4290,Merverdiavgift som gir rett til momskompensasjon,"143172,8",0,0
1044,"Andre ENØK-tiltak, eigenandel",26110,Drift og vedlikehald institusjonslokale,9400,Bruk av disposisjonsfond,-786275,0,0
1044,"Andre ENØK-tiltak, eigenandel",26110,Drift og vedlikehald institusjonslokale,9700,Overføringar frå driftsrekneskapet,"-57269,12",0,0
1044,"Andre ENØK-tiltak, eigenandel",26110,Drift og vedlikehald institusjonslokale,9800,Rekneskapsmessig meirforbruk,"-53842,88",0,0
1044,"Andre ENØK-tiltak, eigenandel",87000,Renter/utbytte og lån,9109,Bruk av lån - inv.rekneskapet m/spes,0,-53843,-1680000
1044,"Andre ENØK-tiltak, eigenandel",88000,Interne finansieringstransaksjonar,5300,Dekning av tidl. års udekka,0,53843,0
1045,Sunde oppvekstsenter - 2010,22200,Skulelokale,2302,Byggetenester,"6111632,8",0,0
1045,Sunde oppvekstsenter - 2010,22200,Skulelokale,4290,Merverdiavgift som gir rett til momskompensasjon,"1506417,2",0,0
1045,Sunde oppvekstsenter - 2010,22200,Skulelokale,9700,Overføringar frå driftsrekneskapet,"-602566,88",0,0
1045,Sunde oppvekstsenter - 2010,22200,Skulelokale,9800,Rekneskapsmessig meirforbruk,"-501975,87",0,0
1045,Sunde oppvekstsenter - 2010,87000,Renter/utbytte og lån,5009,"Renteutgifter, provisjonar o.a. finansutg m/spes","114270,75",0,0
1045,Sunde oppvekstsenter - 2010,87000,Renter/utbytte og lån,9109,Bruk av lån - inv.rekneskapet m/spes,-6627778,0,0
1046,"Automatisk brannsikring, skular og omsorgsbustader",22220,Drift og vedlikehald av skulelokale,2302,Byggetenester,"19913,6",0,0
1046,"Automatisk brannsikring, skular og omsorgsbustader",22220,Drift og vedlikehald av skulelokale,4290,Merverdiavgift som gir rett til momskompensasjon,"4978,4",0,0
1046,"Automatisk brannsikring, skular og omsorgsbustader",22220,Drift og vedlikehald av skulelokale,9700,Overføringar frå driftsrekneskapet,"-1991,36",0,0
1046,"Automatisk brannsikring, skular og omsorgsbustader",38100,Kommunale idrettsbygg og idrettsanlegg,2302,Byggetenester,"1263,6",0,0
1046,"Automatisk brannsikring, skular og omsorgsbustader",38100,Kommunale idrettsbygg og idrettsanlegg,4290,Merverdiavgift som gir rett til momskompensasjon,"315,9",0,0
1046,"Automatisk brannsikring, skular og omsorgsbustader",38100,Kommunale idrettsbygg og idrettsanlegg,9700,Overføringar frå driftsrekneskapet,"-126,36",0,0
1046,"Automatisk brannsikring, skular og omsorgsbustader",87000,Renter/utbytte og lån,9109,Bruk av lån - inv.rekneskapet m/spes,"-24353,78",0,0
1050,Reservevassforsyning,34500,Distribusjon av vatn,2302,Byggetenester,"24170,8",0,0
1050,Reservevassforsyning,34500,Distribusjon av vatn,5480,Avsetnader til ubundne investeringsfond,200000,0,0
1050,Reservevassforsyning,34500,Distribusjon av vatn,9109,Bruk av lån - inv.rekneskapet m/spes,"-224170,8",0,0
1052,Halbrendsfossen målekum,34500,Distribusjon av vatn,2302,Byggetenester,"162209,2",0,0
1052,Halbrendsfossen målekum,87000,Renter/utbytte og lån,9109,Bruk av lån - inv.rekneskapet m/spes,"-162209,2",0,0
1053,Silanlegg Øyrane,35000,Avløpsreinsing,100,Fast løn,"188222,51",0,0
1053,Silanlegg Øyrane,35000,Avløpsreinsing,900,Pensjonsinnskot og trekkpliktige forsikringsordn.,"30277,8",0,0
1053,Silanlegg Øyrane,35000,Avløpsreinsing,903,Pensjonsinnskot - KLP,"25546,63",0,0
1053,Silanlegg Øyrane,35000,Avløpsreinsing,905,Gruppeliv- og ulykkesforsikring,"302,44",0,0
1053,Silanlegg Øyrane,35000,Avløpsreinsing,1302,Purregebyr/innkrevingskostnader,"874,71",0,0
1053,Silanlegg Øyrane,35000,Avløpsreinsing,2302,Byggetenester,"4937191,63",3192456,0
1053,Silanlegg Øyrane,35000,Avløpsreinsing,2500,Materiale til påkostning og nybygg,"145860,4",0,0
1053,Silanlegg Øyrane,35000,Avløpsreinsing,2700,Andre tenester (som inngår i eigenproduksjon),"826797,6",0,0
1053,Silanlegg Øyrane,35000,Avløpsreinsing,9800,Rekneskapsmessig meirforbruk,"-1647635,68",0,0
1053,Silanlegg Øyrane,87000,Renter/utbytte og lån,5009,"Renteutgifter, provisjonar o.a. finansutg m/spes","86472,96",0,0
1053,Silanlegg Øyrane,87000,Renter/utbytte og lån,9109,Bruk av lån - inv.rekneskapet m/spes,-4593911,-4840092,0
1053,Silanlegg Øyrane,88000,Interne finansieringstransaksjonar,5300,Dekning av tidl. års udekka,0,1647636,0
1055,Hovudplan vatn,34500,Distribusjon av vatn,2700,Andre tenester (som inngår i eigenproduksjon),"143196,8",0,0
1055,Hovudplan vatn,87000,Renter/utbytte og lån,9109,Bruk av lån - inv.rekneskapet m/spes,"-143196,8",0,0
1057,Hovudplan avløp,35300,Avløpsnett/innsamling av avløpsvatn,2700,Andre tenester (som inngår i eigenproduksjon),"143196,8",0,0
1057,Hovudplan avløp,87000,Renter/utbytte og lån,9109,Bruk av lån - inv.rekneskapet m/spes,"-143196,8",0,0
1058,Elvevegen kloakkledning,35300,Avløpsnett/innsamling av avløpsvatn,2302,Byggetenester,"53674,24",0,0
1058,Elvevegen kloakkledning,87000,Renter/utbytte og lån,9109,Bruk av lån - inv.rekneskapet m/spes,"-53674,24",0,0
1059,Fortau Vieåsen,33410,Gang- og sykkelvegar,2302,Byggetenester,28840,0,0
1059,Fortau Vieåsen,33410,Gang- og sykkelvegar,4290,Merverdiavgift som gir rett til momskompensasjon,775,0,0
1059,Fortau Vieåsen,33410,Gang- og sykkelvegar,9700,Overføringar frå driftsrekneskapet,-310,0,0
1059,Fortau Vieåsen,87000,Renter/utbytte og lån,9109,Bruk av lån - inv.rekneskapet m/spes,-29305,0,0
1061,Leirdalen kloakkpumpestasjon,35310,Kloakknett,2302,Byggetenester,"1419804,89",0,0
1061,Leirdalen kloakkpumpestasjon,35310,Kloakknett,2700,Andre tenester (som inngår i eigenproduksjon),"5275,2",0,0
1061,Leirdalen kloakkpumpestasjon,87000,Renter/utbytte og lån,9109,Bruk av lån - inv.rekneskapet m/spes,"-1425080,09",0,0
