art;art_tekst;ansvar;ansvar_tekst;tjeneste;tjeneste_tekst;prosjekt;prosjekt_tekst;virksomhetsomraade;beloep
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;26500;KOMMUNALT DISPONERTE BOLIGER;4333;HAUGÅSVEIEN 26/28 15 NYE LEILIGH;Stavanger eiendom;20000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;26500;KOMMUNALT DISPONERTE BOLIGER;39124400001;ODDAHAGEN;Stavanger eiendom;18900000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;26500;KOMMUNALT DISPONERTE BOLIGER;39124400002;KARI TRESTAKKV.3;Stavanger eiendom;12800000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400030;SE FORVALTNINGSAVD.;33800;FOREBYGGING AV BRANN/ULYKKER;44042401;BRANNSIKRING GAMLE STAVANGER;Stavanger eiendom;1500000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400030;SE FORVALTNINGSAVD.;26500;KOMMUNALT DISPONERTE BOLIGER;4710;REHAB. ELDRE BOLIGER;Stavanger eiendom;1000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;22200;DRIFT/VEDLIKEHOLD SKOLER;391244883;EIGANES SKOLE - PLANLEGGING;Stavanger eiendom;63100000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;22200;DRIFT/VEDLIKEHOLD SKOLER;3844030;KANNIK SKOLE , MODULBYGG;Stavanger eiendom;3000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;22200;DRIFT/VEDLIKEHOLD SKOLER;3844036;LUNDE SKOLE - INNVENDIG OMBYGGING;Stavanger eiendom;7000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;22200;DRIFT/VEDLIKEHOLD SKOLER;3844035;NYLUND SKOLE, UTBYGGING AV LOFT OG REHAB.FASADE;Stavanger eiendom;20000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;22200;DRIFT/VEDLIKEHOLD SKOLER;3844011;JÅTTEN SKOLE, NYBYGG 14 ROM;Stavanger eiendom;3000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;22200;DRIFT/VEDLIKEHOLD SKOLER;3844013;TASTAVEDEN SKOLE, REHABILITERING;Stavanger eiendom;2000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;22200;DRIFT/VEDLIKEHOLD SKOLER;3844015;HUNDVÅG SKOLE - REHABILITERING;Stavanger eiendom;3000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;22200;DRIFT/VEDLIKEHOLD SKOLER;3844016;GAUTESETE SKOLE - REFORM 2006 - REHABILITERING - FUNKSJONSENDRING;Stavanger eiendom;2000000
32002;ANNET INVENTAR OG UTSTYR;400030;SE FORVALTNINGSAVD.;22200;DRIFT/VEDLIKEHOLD SKOLER;4703;INVENTAR/UTST./UTEANL.;Stavanger eiendom;2000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400030;SE FORVALTNINGSAVD.;22200;DRIFT/VEDLIKEHOLD SKOLER;4706;UFORUTSETT REHAB. SKOLER;Stavanger eiendom;2500000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;22100;DRIFT/VEDLIKEHOLD BARNEHAGER;4852;EMMAUS BARNEHAGE SØR;Stavanger eiendom;23850000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;22100;DRIFT/VEDLIKEHOLD BARNEHAGER;3844018;YTRE TASTA BARNEHAGE, REHABILITERING AVD. ESKELAND;Stavanger eiendom;2000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400030;SE FORVALTNINGSAVD.;22100;DRIFT/VEDLIKEHOLD BARNEHAGER;4705;UFORUTSETT REHAB BHG;Stavanger eiendom;2000000
32002;ANNET INVENTAR OG UTSTYR;400030;SE FORVALTNINGSAVD.;22100;DRIFT/VEDLIKEHOLD BARNEHAGER;4021;BHG INVENTAR OG UTSTYR;Stavanger eiendom;1000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;26100;INSTITUSJONSLOKALER;4333;HAUGÅSVEIEN 26/28 15 NYE LEILIGH;Stavanger eiendom;18900000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;26100;INSTITUSJONSLOKALER;391444803;BJØRN FARMANNSGATE 25, BOFELLESSKAP PUH;Stavanger eiendom;23800000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400030;SE FORVALTNINGSAVD.;26502;OMSORGSBOLIGER;3844031; FREDRIKKE QUAMSVEI, UTBEDRING;Stavanger eiendom;5000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;26100;INSTITUSJONSLOKALER;391244868;LOKALMEDISINSK SENTER;Stavanger eiendom;2000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;26100;INSTITUSJONSLOKALER;3844038;BOFELLESSKAP LASSAHAGEN OPPGRADERING 6 PLASSER;Stavanger eiendom;6000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;26100;INSTITUSJONSLOKALER;4337;LERVIG SYKEHJEM;Stavanger eiendom;150400000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;26100;INSTITUSJONSLOKALER;3844021;SELVEIDE BOLIGER I BOFELLESSKAP;Stavanger eiendom;2000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;26100;INSTITUSJONSLOKALER;3844023;DAGTILBUD PSYKISK UTVIKLINGSHEMMEDE;Stavanger eiendom;1500000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;26502;OMSORGSBOLIGER;3844040;OPPGRAD. AV SIGNALANLEGG I SYKEHJEM.;Stavanger eiendom;2000000
32002;ANNET INVENTAR OG UTSTYR;300000;LEVEKÅR;23400;AKTIVISERING OG SERVICETJENESTER ELDRE OG PERS. MED FUNKSJONSNEDSETTELSER;3833001;UTSKIFTING ALARMER/MOTTAKSSENTRALER TEKNISKE HJEMMETJENESTER;Sentrale midler levekår;4500000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;26100;INSTITUSJONSLOKALER;3844041;LÅS PÅ MEDISINROM/VAKTROM I SYKEHJEM OG HJ.BAS. TJENESTER;Stavanger eiendom;1000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400030;SE FORVALTNINGSAVD.;26100;INSTITUSJONSLOKALER;4711;REHAB. INST./BOFEL.. M.V.;Stavanger eiendom;2000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400030;SE FORVALTNINGSAVD.;38100;IDRETTSBYGG OG IDRETTSANLEGG, KOMMUNALE;4712;REHAB IDRETTSHALLER;Stavanger eiendom;500000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;38100;IDRETTSBYGG OG IDRETTSANLEGG, KOMMUNALE;4844;KVERNEVIK SVØMMEHALL;Stavanger eiendom;25000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;38100;IDRETTSBYGG OG IDRETTSANLEGG, KOMMUNALE;3866002; GARDEROBEANLEGG MIDJORD;Stavanger eiendom;21500000
32700;KONSULENTTJENESTER IKKE OPPLYSNINGSPLIKTIGE;400020;SE PROSJEKT/ARKITEKTAVD.;38100;IDRETTSBYGG OG IDRETTSANLEGG, KOMMUNALE;1351;FOLKEBADET;Stavanger eiendom;5700000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;38100;IDRETTSBYGG OG IDRETTSANLEGG, KOMMUNALE;391444819;NYE GAMLINGEN;Stavanger eiendom;65000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400030;SE FORVALTNINGSAVD.;38100;IDRETTSBYGG OG IDRETTSANLEGG, KOMMUNALE;3844026;STAVANGER SVØMMEHALL, REHABILITERING;Stavanger eiendom;5000000
32851;KJØP AV TOMTER/AREALER;108011;UTB.AVD. HOVEDUTB.OMR.;31500;BOLIGBYGGING OG FYSISKE BOMILJØTILTAK;1000;KJØP/SALG EIEND.;Utbygging;35000000
32851;KJØP AV TOMTER/AREALER;108011;UTB.AVD. HOVEDUTB.OMR.;31500;BOLIGBYGGING OG FYSISKE BOMILJØTILTAK;1000;KJØP/SALG EIEND.;Utbygging;20000000
32851;KJØP AV TOMTER/AREALER;108012;UTB.AVD. BYREG.FONDET;31500;BOLIGBYGGING OG FYSISKE BOMILJØTILTAK;1000;KJØP/SALG EIEND.;Utbygging;17000000
32851;KJØP AV TOMTER/AREALER;108012;UTB.AVD. BYREG.FONDET;31500;BOLIGBYGGING OG FYSISKE BOMILJØTILTAK;3788003;KJØP AV TOMT TIL KKOMM.UTB.BEHOV -STORHAUG ØST (URBAN SJØFRONT);Utbygging;40000000
32700;KONSULENTTJENESTER IKKE OPPLYSNINGSPLIKTIGE;108011;UTB.AVD. HOVEDUTB.OMR.;32500;TILR.LEGGING & BISTAND FOR NÆRINGSLIVET;391482090;JÅTTÅVÅGEN OMRÅDEUTVIKLING (FERDIG 2016);Utbygging;17400000
32300;PÅKOSTNING/NYBYGG BYGNINGER;300000;LEVEKÅR;23300;ANNET FOREBYGGENDE HELSEARBEID;391433000;STORHAUG OMRÅDELØFT;Sentrale midler levekår;4000000
32301;PÅKOSTNING/NYBYGG ANLEGG;602000;VANNVERKET;34500;DISTRIBUSJON AV VANN;3726021;VANNMÅLERE/OFF. LEDNINGER;Vannverket;1100000
32301;PÅKOSTNING/NYBYGG ANLEGG;602000;VANNVERKET;34500;DISTRIBUSJON AV VANN;3726024;RINGLEDNINGER/FORSTERKNINGER.;Vannverket;2400000
32301;PÅKOSTNING/NYBYGG ANLEGG;602000;VANNVERKET;34500;DISTRIBUSJON AV VANN;3726027;FORNYELSE/RENOVERING;Vannverket;22000000
32301;PÅKOSTNING/NYBYGG ANLEGG;602000;VANNVERKET;34500;DISTRIBUSJON AV VANN;3726026;VANNLEDNINGER/UTBYGGINGSOMRÅDER;Vannverket;5000000
32301;PÅKOSTNING/NYBYGG ANLEGG;602000;VANNVERKET;34500;DISTRIBUSJON AV VANN;3726004;BYOMFORMING;Vannverket;2000000
32301;PÅKOSTNING/NYBYGG ANLEGG;602000;VANNVERKET;34500;DISTRIBUSJON AV VANN;391444808;VÅLANDSBASSENGENE;Vannverket;2000000
32301;PÅKOSTNING/NYBYGG ANLEGG;602000;VANNVERKET;34500;DISTRIBUSJON AV VANN;3826001;RYFAST VANNVERKET;Vannverket;5000000
32301;PÅKOSTNING/NYBYGG ANLEGG;602000;VANNVERKET;34500;DISTRIBUSJON AV VANN;3726048;STRAKSTILTAK;Vannverket;2000000
32301;PÅKOSTNING/NYBYGG ANLEGG;602000;VANNVERKET;34500;DISTRIBUSJON AV VANN;3726029;DESINFEKSJON ETC.;Vannverket;600000
32301;PÅKOSTNING/NYBYGG ANLEGG;602000;VANNVERKET;34500;DISTRIBUSJON AV VANN;3726005;REPARASJONSLAG;Vannverket;600000
32301;PÅKOSTNING/NYBYGG ANLEGG;603000;AVLØPSVERKET;35300;AVLØPSNETT/INNSAMLING AV AVLØPSVANN;3736028;KLOAKKRAMMEPLANEN;Avløpsverket;3000000
32301;PÅKOSTNING/NYBYGG ANLEGG;603000;AVLØPSVERKET;35300;AVLØPSNETT/INNSAMLING AV AVLØPSVANN;3736029;SEPARERING;Avløpsverket;11000000
32301;PÅKOSTNING/NYBYGG ANLEGG;603000;AVLØPSVERKET;35300;AVLØPSNETT/INNSAMLING AV AVLØPSVANN;3736030;FORNYELSE OG RENOVERING;Avløpsverket;33000000
32301;PÅKOSTNING/NYBYGG ANLEGG;603000;AVLØPSVERKET;35300;AVLØPSNETT/INNSAMLING AV AVLØPSVANN;3736082;NEDBØRSMÅLERE;Avløpsverket;300000
32301;PÅKOSTNING/NYBYGG ANLEGG;602000;VANNVERKET;34500;DISTRIBUSJON AV VANN;391444808;VÅLANDSBASSENGENE;Vannverket;2000000
32301;PÅKOSTNING/NYBYGG ANLEGG;603000;AVLØPSVERKET;35300;AVLØPSNETT/INNSAMLING AV AVLØPSVANN;3836001;RYFAST/pumpest. AVLØPSVERKET;Avløpsverket;5000000
32301;PÅKOSTNING/NYBYGG ANLEGG;602000;VANNVERKET;34500;DISTRIBUSJON AV VANN;3726004;BYOMFORMING;Vannverket;5000000
32301;PÅKOSTNING/NYBYGG ANLEGG;602000;VANNVERKET;34500;DISTRIBUSJON AV VANN;3726048;STRAKSTILTAK;Vannverket;2500000
32002;ANNET INVENTAR OG UTSTYR;604000;RENOVASJON;35500;INNSAMLING, GJENVINNING OG SLUTTBEHANDLING AV AVFALL;3716005;KJØP AV NYE SØPPELSPANN;Renovasjon;2400000
32002;ANNET INVENTAR OG UTSTYR;604000;RENOVASJON;35500;INNSAMLING, GJENVINNING OG SLUTTBEHANDLING AV AVFALL;3716072;NEDGRAVDE CONTAINERE;Renovasjon;2200000
32500;MATERIALKJØP  BYGNING;604000;RENOVASJON;35500;INNSAMLING, GJENVINNING OG SLUTTBEHANDLING AV AVFALL;3716036;MILJØSTASJONER;Renovasjon;50000
32301;PÅKOSTNING/NYBYGG ANLEGG;606000;PARK OG VEI;33200;KOMMUNALE VEIER;3766019;ASFALTERING;Park og vei;5000000
32301;PÅKOSTNING/NYBYGG ANLEGG;606000;PARK OG VEI;33200;KOMMUNALE VEIER;391366019;FLASKEHALSUTBEDRING;Park og vei;24000000
32301;PÅKOSTNING/NYBYGG ANLEGG;606000;PARK OG VEI;33200;KOMMUNALE VEIER;3766052;REHABILITERING;Park og vei;1500000
32301;PÅKOSTNING/NYBYGG ANLEGG;606000;PARK OG VEI;33200;KOMMUNALE VEIER;3766013;NYE VEIANLEGG;Park og vei;2100000
32301;PÅKOSTNING/NYBYGG ANLEGG;606000;PARK OG VEI;33200;KOMMUNALE VEIER;3766015;GATELYS;Park og vei;10000000
32301;PÅKOSTNING/NYBYGG ANLEGG;606000;PARK OG VEI;33200;KOMMUNALE VEIER;3866001;UTSKIFTING AV GATELYSARMATUR SOM INNEH.KVIKKSØLV;Park og vei;10000000
32301;PÅKOSTNING/NYBYGG ANLEGG;606000;PARK OG VEI;33200;KOMMUNALE VEIER;3766010;SYKKEL;Park og vei;2500000
32301;PÅKOSTNING/NYBYGG ANLEGG;606000;PARK OG VEI;33200;KOMMUNALE VEIER;391366018;SYKKELSTRATEGI;Park og vei;22200000
32301;PÅKOSTNING/NYBYGG ANLEGG;606000;PARK OG VEI;33200;KOMMUNALE VEIER;391366020;GANG-/SYKKELSTI AUSTRE ÅMØY;Park og vei;5000000
32301;PÅKOSTNING/NYBYGG ANLEGG;606000;PARK OG VEI;33200;KOMMUNALE VEIER;3766014;TRAFIKKSIKKERHET;Park og vei;15300000
32301;PÅKOSTNING/NYBYGG ANLEGG;606000;PARK OG VEI;33200;KOMMUNALE VEIER;3766017;MILJØ OG GATETUN;Park og vei;3500000
32301;PÅKOSTNING/NYBYGG ANLEGG;606000;PARK OG VEI;33200;KOMMUNALE VEIER;3766062;SENTRUM;Park og vei;6000000
32301;PÅKOSTNING/NYBYGG ANLEGG;606000;PARK OG VEI;33500;PARKER,PLASSER, TORG M.V.;3765003;LØKKER, BANER, SKATEBANER OG NÆRMILJØANLEGG;Park og vei;6100000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;38100;IDRETTSBYGG OG IDRETTSANLEGG, KOMMUNALE;391465025;TASTA SKATEPARK;Stavanger eiendom;18000000
32301;PÅKOSTNING/NYBYGG ANLEGG;606000;PARK OG VEI;33500;PARKER,PLASSER, TORG M.V.;3765032;KUNST I OFFENTLIG ROM (LEKEPLASSER);Park og vei;1000000
32301;PÅKOSTNING/NYBYGG ANLEGG;606000;PARK OG VEI;36000;NATURFORVALTNING & FRILUFTSLIV;3765023;PROSJEKT FRIOMRÅDE;Park og vei;10000000
32301;PÅKOSTNING/NYBYGG ANLEGG;606000;PARK OG VEI;33500;PARKER,PLASSER, TORG M.V.;3765021;REHABILITERING PARKANLEGG/FRIOMRÅDER;Park og vei;700000
32301;PÅKOSTNING/NYBYGG ANLEGG;606000;PARK OG VEI;38100;IDRETTSBYGG OG IDRETTSANLEGG, KOMMUNALE;3765014;REHABILITERING IDRETTSANLEGG;Park og vei;6000000
32301;PÅKOSTNING/NYBYGG ANLEGG;606000;PARK OG VEI;22200;DRIFT/VEDLIKEHOLD SKOLER;3766910;UTEAREALER SKOLER;Park og vei;8000000
32006;OPPGRADERING/PROGRAMVARE;105014;STAVANGER BYARKIV;18000;DIVERSE FELLESUTGIFTER;391450141;NYTT SAK/ARKIV-SYSTEM (ANSKAFFELSE OG IMPLEMENTERING);Personal og organisasjon;2700000
32006;OPPGRADERING/PROGRAMVARE;104000;KOMMUNIKASJONSAVDELINGEN;12000;ADMINISTRASJON;3711002;NY HJEMMESIDE KOMMUNIKASJON;Kommunikasjon;2000000
31303;DATAKOMMUNIKASJON;400050;ENERGI OG DRIFTSSEKSJON;18000;DIVERSE FELLESUTGIFTER;3844048;STRØMMÅLERE UTSKIFTING;Stavanger eiendom;2000000
35290;KJØP AV AKSJER/ANDELER;800015;FELLESUTGIFTER;17200;PENSJON;9100;EGENKAPITALINNSKUDD;Sum felles inntekter og utgifter;19100000
32100;KJØP AV TRANSPORTMIDLER;300000;LEVEKÅR;25300;HELSE- OG OMSORGSTJENESTER I INSTITUSJON;3733003;BILER;Sentrale midler levekår;1500000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;39000;DEN NORSKE KIRKE - STAVANGER FELLESRÅD;391444821;DOMKIRKEN 2025;Stavanger eiendom;20000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400030;SE FORVALTNINGSAVD.;39000;DEN NORSKE KIRKE - STAVANGER FELLESRÅD;3844028;BEKKEFARET KIRKE,REHABILITERING;Stavanger eiendom;2000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;800032;STAVANGER FELLESRÅD;39300;GRAVPLASSER OG KREMATORIER;378001;DIGITALISERING AV KART FOR GRAVLUND;Sum felles inntekter og utgifter;600000
39700;OVERFØRINGER FRA DRIFTSREGNSKAPET;800403;OVERF. KAP.REGNSK.;88000;INTERNE FINANSIERINGSTRANSAKSJONER;9990;GENERELL FINANSIERING;Sum felles inntekter og utgifter;-175897000
37290;KOMPENSASJON FOR MERVERDIAVGIFT INVESTERING;800403;OVERF. KAP.REGNSK.;84100;KOMPENSASJON FOR MERVERDIAVGIFT I INVESTERINGSREGNSKAPET;9990;GENERELL FINANSIERING;Sum felles inntekter og utgifter;-139000000
39200;MOTTATTE AVDRAG;800300;RENTER/UTBYTTE OG LÅN;87000;RENTER/UTBYTTE OG LÅN;8550;RENTER/AVDRAG/UTLÅN ANDRE UTLÅN;Sum felles inntekter og utgifter;-43600000
38117;TILSKUDD FRA HUSBANKEN;400030;SE FORVALTNINGSAVD.;26500;KOMMUNALT DISPONERTE BOLIGER;4000;KJØP BOLIGER VANSKELIGST.;Stavanger eiendom;-6000000
38117;TILSKUDD FRA HUSBANKEN;400030;SE FORVALTNINGSAVD.;26500;KOMMUNALT DISPONERTE BOLIGER;4000;KJØP BOLIGER VANSKELIGST.;Stavanger eiendom;-600000
36701;SALG TOMT/AREALER UTBYGNINGER;108011;UTB.AVD. HOVEDUTB.OMR.;31500;BOLIGBYGGING OG FYSISKE BOMILJØTILTAK;9991;GENERELL FIN. SALG AV EIENDOM/RÅMARK;Utbygging;-62500000
36701;SALG TOMT/AREALER UTBYGNINGER;108011;UTB.AVD. HOVEDUTB.OMR.;31500;BOLIGBYGGING OG FYSISKE BOMILJØTILTAK;9991;GENERELL FIN. SALG AV EIENDOM/RÅMARK;Utbygging;-153100000
36701;SALG TOMT/AREALER UTBYGNINGER;108011;UTB.AVD. HOVEDUTB.OMR.;31500;BOLIGBYGGING OG FYSISKE BOMILJØTILTAK;9991;GENERELL FIN. SALG AV EIENDOM/RÅMARK;Utbygging;-45000000
38118;STUI - OVERFØRINGER;609000;PARK&IDRETT;38100;IDRETTSBYGG OG IDRETTSANLEGG, KOMMUNALE;9990;GENERELL FINANSIERING;Idrett;-8300000
38118;STUI - OVERFØRINGER;606000;PARK OG VEI;38100;IDRETTSBYGG OG IDRETTSANLEGG, KOMMUNALE;3765003;LØKKER, BANER, SKATEBANER OG NÆRMILJØANLEGG;Park og vei;-800000
38100;OVERFØRINGER FRA STATEN;400030;SE FORVALTNINGSAVD.;18000;DIVERSE FELLESUTGIFTER;3844001;ENERGITILTAK KOMMUNALE BYGG;Stavanger eiendom;-2000000
38100;OVERFØRINGER FRA STATEN;400030;SE FORVALTNINGSAVD.;18000;DIVERSE FELLESUTGIFTER;3844044;ENERGITILTAK I KOMM.BYGG TRINN 2;Stavanger eiendom;-740000
38900;OVERFØRINGER FRA ANDRE (PRIVATE);400020;SE PROSJEKT/ARKITEKTAVD.;38600;KOMMUNALE KULTURBYGG;3844029;VÅLANDSTÅRNET REHABILITERING;Stavanger eiendom;-3000000
38100;OVERFØRINGER FRA STATEN;400020;SE PROSJEKT/ARKITEKTAVD.;38600;KOMMUNALE KULTURBYGG;4819;NYE TOU, REDUSERT 1.BYGGETRINN;Stavanger eiendom;-3000000
38900;OVERFØRINGER FRA ANDRE (PRIVATE);400020;SE PROSJEKT/ARKITEKTAVD.;38100;IDRETTSBYGG OG IDRETTSANLEGG, KOMMUNALE;3866002; GARDEROBEANLEGG MIDJORD;Stavanger eiendom;-4000000
39100;BRUK AV LÅN (GENERELL FINANSIERING);800015;FELLESUTGIFTER;87000;RENTER/UTBYTTE OG LÅN;9990;GENERELL FINANSIERING;Sum felles inntekter og utgifter;-585363000
39101;BRUK AV LÅN (SPESIELL FINANSIERING);800302;AVDRAG PÅ INNLÅN/UTLÅN;28300;BIST.ETABL.OG BEG.EGEN BOLIG;8500;RENTER/AVDRAG/UTLÅN ETABLERINGSLÅN;Sum felles inntekter og utgifter;-200000000
35200;UTLÅN;800302;AVDRAG PÅ INNLÅN/UTLÅN;28300;BIST.ETABL.OG BEG.EGEN BOLIG;8500;RENTER/AVDRAG/UTLÅN ETABLERINGSLÅN;Sum felles inntekter og utgifter;200000000
39201;MOTTATTE AVDRAG FORMIDLINGSLÅN;800302;AVDRAG PÅ INNLÅN/UTLÅN;28300;BIST.ETABL.OG BEG.EGEN BOLIG;8500;RENTER/AVDRAG/UTLÅN ETABLERINGSLÅN;Sum felles inntekter og utgifter;-105000000
35100;AVDRAG INNLÅN VIDERE UTLÅN;800302;AVDRAG PÅ INNLÅN/UTLÅN;28300;BIST.ETABL.OG BEG.EGEN BOLIG;8500;RENTER/AVDRAG/UTLÅN ETABLERINGSLÅN;Sum felles inntekter og utgifter;105000000
35200;UTLÅN;800302;AVDRAG PÅ INNLÅN/UTLÅN;87000;RENTER/UTBYTTE OG LÅN;8550;RENTER/AVDRAG/UTLÅN ANDRE UTLÅN;Sum felles inntekter og utgifter;16450000
39100;BRUK AV LÅN (GENERELL FINANSIERING);800015;FELLESUTGIFTER;87000;RENTER/UTBYTTE OG LÅN;9990;GENERELL FINANSIERING;Sum felles inntekter og utgifter;-16450000
32301;PÅKOSTNING/NYBYGG ANLEGG;400050;ENERGI OG DRIFTSSEKSJON;13000;ADMINISTRASJONSLOKALER;3844002;OK 19 - VARMESENTRAL;Stavanger eiendom;13000000
37000;REFUSJON FRA STATEN;400050;ENERGI OG DRIFTSSEKSJON;13000;ADMINISTRASJONSLOKALER;3844002;OK 19 - VARMESENTRAL;Stavanger eiendom;-6000000
