partinamn,fylkesnr,kommunenr,partitype,valar,stemmer,relativdel,mandat,utbetalingsar,grunnstonad,stemmestotte,totalt
Fredrikstad Høyre,1,106,Kommune,2007,4463,"13,22",7,2011,1223,"57171,03","58394,03"
Fredrikstad KrF,1,106,Kommune,2007,1618,"4,79",3,2011,1223,"20726,58","21949,58"
Fredrikstad Pensjonistparti,1,106,Kommune,2007,893,"2,65",1,2011,1223,"11439,33","12662,33"
Fredrikstad Rød Valgallianse,1,106,Kommune,2007,306,"0,91",0,2011,0,"3919,86","3919,86"
Fredrikstad Senterparti,1,106,Kommune,2007,739,"2,19",1,2011,1223,"9466,59","10689,59"
Fredrikstad Sv,1,106,Kommune,2007,1563,"4,63",2,2011,1223,"20022,03","21245,03"
FREDRIKSTAD VENSTRE,1,106,Kommune,2007,1115,"3,3",2,2011,1223,"14283,15","15506,15"
Kristent Samlingsparti,1,106,Kommune,2007,47,"0,14",0,2011,0,"602,07","602,07"
Hvaler Arbeiderparti,1,111,Kommune,2007,704,"33,67",7,2011,1223,"9018,24","10241,24"
Hvaler Fremskrittsparti,1,111,Kommune,2007,573,"27,4",6,2011,1223,"7340,13","8563,13"
Hvaler Høyre,1,111,Kommune,2007,450,"21,52",5,2011,1223,"5764,5","6987,5"
Hvaler Senterparti,1,111,Kommune,2007,92,"4,4",1,2011,1223,"1178,52","2401,52"
Hvaler Sv,1,111,Kommune,2007,132,"6,31",1,2011,1223,"1690,92","2913,92"
HVALER VENSTRE,1,111,Kommune,2007,80,"3,83",1,2011,1223,"1024,8","2247,8"
Pensjonistpartiet,1,111,Kommune,2007,60,"2,87",0,2011,0,"768,6","768,6"
Aremark Arbeiderparti,1,118,Kommune,2007,249,"33,33",6,2011,1223,"3189,69","4412,69"
Aremark Fremskrittsparti,1,118,Kommune,2007,57,"7,63",1,2011,1223,"730,17","1953,17"
Aremark Høyre,1,118,Kommune,2007,72,"9,64",2,2011,1223,"922,32","2145,32"
Aremark KrF,1,118,Kommune,2007,193,"25,84",4,2011,1223,"2472,33","3695,33"
Marker Arbeiderparti,1,119,Kommune,2007,969,"55,12",14,2011,1223,"12412,89","13635,89"
Marker Høyre,1,119,Kommune,2007,164,"9,33",2,2011,1223,"2100,84","3323,84"
Marker KrF,1,119,Kommune,2007,307,"17,46",4,2011,1223,"3932,67","5155,67"
Marker Senterparti,1,119,Kommune,2007,318,"18,09",5,2011,1223,"4073,58","5296,58"
Rømskog  Arbeiderparti,1,121,Kommune,2007,175,"39,5",5,2011,1223,"2241,75","3464,75"
Rømskog Fremskrittsparti,1,121,Kommune,2007,31,7,1,2011,1223,"397,11","1620,11"
Rømskog KrF,1,121,Kommune,2007,126,"28,44",4,2011,1223,"1614,06","2837,06"
Rømskog Senterparti,1,121,Kommune,2007,111,"25,06",3,2011,1223,"1421,91","2644,91"
Trøgstad  Arbeiderparti,1,122,Kommune,2007,579,"24,79",5,2011,1223,"7416,99","8639,99"
Trøgstad Fremskrittsparti,1,122,Kommune,2007,476,"20,38",4,2011,1223,"6097,56","7320,56"
Trøgstad Høyre,1,122,Kommune,2007,233,"9,97",2,2011,1223,"2984,73","4207,73"
Trøgstad KrF,1,122,Kommune,2007,167,"7,15",2,2011,1223,"2139,27","3362,27"
Trøgstad Senterparti,1,122,Kommune,2007,625,"26,76",6,2011,1223,"8006,25","9229,25"
Trøgstad Sv,1,122,Kommune,2007,69,"2,95",0,2011,0,"883,89","883,89"
TRØGSTAD VENSTRE,1,122,Kommune,2007,187,"8,01",2,2011,1223,"2395,47","3618,47"
Spydeberg  Arbeiderparti,1,123,Kommune,2007,457,"19,15",4,2011,1223,"5854,17","7077,17"
Spydeberg Fremskrittsparti,1,123,Kommune,2007,452,"18,94",4,2011,1223,"5790,12","7013,12"
Spydeberg Høyre,1,123,Kommune,2007,346,"14,5",3,2011,1223,"4432,26","5655,26"
Spydeberg KrF,1,123,Kommune,2007,201,"8,42",2,2011,1223,"2574,81","3797,81"
Spydeberg Senterparti,1,123,Kommune,2007,630,"26,39",5,2011,1223,"8070,3","9293,3"
Spydeberg Sv,1,123,Kommune,2007,105,"4,4",1,2011,1223,"1345,05","2568,05"
SPYDEBERG VENSTRE,1,123,Kommune,2007,196,"8,21",2,2011,1223,"2510,76","3733,76"
Askim  Arbeiderparti,1,124,Kommune,2007,2084,"34,57",12,2011,1223,"26696,04","27919,04"
Askim Fremskrittsparti,1,124,Kommune,2007,1167,"19,36",7,2011,1223,"14949,27","16172,27"
Askim Høyre,1,124,Kommune,2007,1170,"19,41",7,2011,1223,"14987,7","16210,7"
Askim KrF,1,124,Kommune,2007,392,"6,5",2,2011,1223,"5021,52","6244,52"
Askim Og Omegn Sv,1,124,Kommune,2007,250,"4,15",1,2011,1223,"3202,5","4425,5"
Askim Senterparti,1,124,Kommune,2007,286,"4,74",2,2011,1223,"3663,66","4886,66"
ASKIM VENSTRE,1,124,Kommune,2007,326,"5,41",2,2011,1223,"4176,06","5399,06"
Eidsberg  Arbeiderparti,1,125,Kommune,2007,1082,"24,24",8,2011,1223,"13860,42","15083,42"
Eidsberg Fremskrittsparti,1,125,Kommune,2007,858,"19,22",7,2011,1223,"10990,98","12213,98"
Eidsberg Høyre,1,125,Kommune,2007,569,"12,75",4,2011,1223,"7288,89","8511,89"
Eidsberg KrF,1,125,Kommune,2007,331,"7,41",3,2011,1223,"4240,11","5463,11"
Eidsberg Senterparti,1,125,Kommune,2007,1060,"23,75",8,2011,1223,"13578,6","14801,6"
Eidsberg Sv,1,125,Kommune,2007,219,"4,91",2,2011,1223,"2805,39","4028,39"
EIDSBERG VENSTRE,1,125,Kommune,2007,345,"7,73",3,2011,1223,"4419,45","5642,45"
Skiptvet  Arbeiderparti,1,127,Kommune,2007,506,"32,46",7,2011,1223,"6481,86","7704,86"
Skiptvet Fremskrittsparti,1,127,Kommune,2007,171,"10,97",2,2011,1223,"2190,51","3413,51"
Skiptvet Høyre,1,127,Kommune,2007,199,"12,76",3,2011,1223,"2549,19","3772,19"
Skiptvet KrF,1,127,Kommune,2007,168,"10,78",2,2011,1223,"2152,08","3375,08"
Skiptvet Senterparti,1,127,Kommune,2007,515,"33,03",7,2011,1223,"6597,15","7820,15"
Rakkestad  Arbeiderparti,1,128,Kommune,2007,730,"21,8",6,2011,1223,"9351,3","10574,3"
Rakkestad Fremskrittsparti,1,128,Kommune,2007,426,"12,72",3,2011,1223,"5457,06","6680,06"
Rakkestad Høyre,1,128,Kommune,2007,184,"5,5",1,2011,1223,"2357,04","3580,04"
Rakkestad KrF,1,128,Kommune,2007,711,"21,24",5,2011,1223,"9107,91","10330,91"
Rakkestad Senterparti,1,128,Kommune,2007,756,"22,58",7,2011,1223,"9684,36","10907,36"
RAKKESTAD VENSTRE,1,128,Kommune,2007,500,"14,93",4,2011,1223,6405,7628
Råde  Arbeiderparti,1,135,Kommune,2007,1213,"35,22",10,2011,1223,"15538,53","16761,53"
Råde Fremskrittsparti,1,135,Kommune,2007,923,"26,8",7,2011,1223,"11823,63","13046,63"
Råde Høyre,1,135,Kommune,2007,473,"13,73",4,2011,1223,"6059,13","7282,13"
Råde KrF,1,135,Kommune,2007,360,"10,45",3,2011,1223,"4611,6","5834,6"
Råde Senterparti,1,135,Kommune,2007,318,"9,23",3,2011,1223,"4073,58","5296,58"
RÅDE VENSTRE,1,135,Kommune,2007,77,"2,24",0,2011,0,"986,37","986,37"
DEMOKRATENE,1,136,Kommune,2007,24,"0,37",0,2011,0,"307,44","307,44"
Rygge  Arbeiderparti,1,136,Kommune,2007,1878,"28,63",8,2011,1223,"24057,18","25280,18"
Rygge Fremskrittsparti,1,136,Kommune,2007,2032,"30,98",8,2011,1223,"26029,92","27252,92"
Rygge Høyre,1,136,Kommune,2007,1185,"18,06",5,2011,1223,"15179,85","16402,85"
Rygge KrF,1,136,Kommune,2007,267,"4,07",1,2011,1223,"3420,27","4643,27"
Rygge Pensjonistparti,1,136,Kommune,2007,210,"3,2",1,2011,1223,"2690,1","3913,1"
Rygge Senterparti,1,136,Kommune,2007,230,"3,51",1,2011,1223,"2946,3","4169,3"
Rygge Sv,1,136,Kommune,2007,407,"6,2",2,2011,1223,"5213,67","6436,67"
RYGGE VENSTRE,1,136,Kommune,2007,327,"4,98",1,2011,1223,"4188,87","5411,87"
Våler  Arbeiderparti,1,137,Kommune,2007,341,"17,9",4,2011,1223,"4368,21","5591,21"
Våler Fremskrittsparti,1,137,Kommune,2007,507,"26,61",5,2011,1223,"6494,67","7717,67"
Våler Høyre,1,137,Kommune,2007,318,"16,69",5,2011,1223,"4073,58","5296,58"
Våler KrF,1,137,Kommune,2007,208,"10,92",2,2011,1223,"2664,48","3887,48"
Våler Senterparti,1,137,Kommune,2007,402,"21,1",3,2011,1223,"5149,62","6372,62"
Våler Sv,1,137,Kommune,2007,75,"3,94",1,2011,1223,"960,75","2183,75"
Hobøl  Arbeiderparti,1,138,Kommune,2007,529,"23,5",6,2011,1223,"6776,49","7999,49"
Hobøl Fremskrittsparti,1,138,Kommune,2007,733,"32,56",7,2011,1223,"9389,73","10612,73"
Hobøl Høyre,1,138,Kommune,2007,270,"11,99",3,2011,1223,"3458,7","4681,7"
Hobøl KrF,1,138,Kommune,2007,201,"8,93",2,2011,1223,"2574,81","3797,81"
Hobøl Senterparti,1,138,Kommune,2007,222,"9,86",2,2011,1223,"2843,82","4066,82"
HOBØL VENSTRE,1,138,Kommune,2007,296,"13,15",3,2011,1223,"3791,76","5014,76"
Akershus Arbeiderparti,2,200,Fylke,2007,65291,"28,07",12,2011,44708,"1894091,91","1938799,91"
Akershus AUF,2,200,FylkesUngdom,2007,0,0,0,2011,0,"598065,56","598065,56"
Akershus Fremskrittpartiets Ungdom,2,200,FylkesUngdom,2007,0,0,0,2011,0,"423274,44","423274,44"
Akershus Fremskrittsparti,2,200,Fylke,2007,46209,"19,87",9,2011,44708,"1340523,09","1385231,09"
Akershus Høyre,2,200,Fylke,2007,63517,"27,31",12,2011,44708,"1842628,17","1887336,17"
Akershus Kristelig Folkeparti,2,200,Fylke,2007,9142,"3,93",2,2011,44708,"265209,42","309917,42"
Akershus Kristelig Folkepartis Ungdom,2,200,FylkesUngdom,2007,0,0,0,2011,0,"83740,72","83740,72"
Akershus Pensjonistparti,2,200,Fylke,2007,3382,"1,45",0,2011,0,"98111,82","98111,82"
Akershus Rød Ungdom,2,200,FylkesUngdom,2007,0,0,0,2011,0,"29183,76","29183,76"
Akershus Senterparti,2,200,Fylke,2007,9402,"4,04",2,2011,44708,"272752,02","317460,02"
Akershus Senterungdom,2,200,FylkesUngdom,2007,0,0,0,2011,0,"86122,32","86122,32"
Akershus SU,2,200,FylkesUngdom,2007,0,0,0,2011,0,"132041,4","132041,4"
Akershus SV,2,200,Fylke,2007,14415,"6,2",3,2011,44708,"418179,15","462887,15"
Akershus Unge Høyre,2,200,FylkesUngdom,2007,0,0,0,2011,0,"581815,72","581815,72"
AKERSHUS UNGE VENSTRE,2,200,FylkesUngdom,2007,0,0,0,2011,0,"143271,56","143271,56"
AKERSHUS VENSTRE,2,200,Fylke,2007,15641,"6,72",3,2011,44708,"453745,41","498453,41"
Kystpartiet i Akershus,2,200,Fylke,2007,197,"0,08",0,2011,0,"5714,97","5714,97"
Kystpartiets Ungdom i Akershus,2,200,FylkesUngdom,2007,0,0,0,2011,0,"1804,52","1804,52"
Miljøpartiet De Grønne,2,200,Fylke,2007,1829,"0,79",0,2011,0,"53059,29","53059,29"
Rød Valgallianse i Akershus,2,200,Fylke,2007,3186,"1,37",0,2011,0,"92425,86","92425,86"
Vestby  Arbeiderparti,2,211,Kommune,2007,2111,"30,98",11,2011,1223,"27041,91","28264,91"
Vestby Fremskrittsparti,2,211,Kommune,2007,1197,"17,57",6,2011,1223,"15333,57","16556,57"
Vestby Høyre,2,211,Kommune,2007,1745,"25,61",9,2011,1223,"22353,45","23576,45"
Vestby KrF,2,211,Kommune,2007,219,"3,21",1,2011,1223,"2805,39","4028,39"
Vestby Rød Valgallianse,2,211,Kommune,2007,121,"1,78",0,2011,0,"1550,01","1550,01"
Vestby Senterparti,2,211,Kommune,2007,532,"7,81",3,2011,1223,"6814,92","8037,92"
Vestby SV,2,211,Kommune,2007,422,"6,19",2,2011,1223,"5405,82","6628,82"
VESTBY VENSTRE,2,211,Kommune,2007,467,"6,85",3,2011,1223,"5982,27","7205,27"
Ski  Arbeiderparti,2,213,Kommune,2007,3821,"29,37",12,2011,1223,"48947,01","50170,01"
Ski Fremskrittsparti,2,213,Kommune,2007,2308,"17,74",7,2011,1223,"29565,48","30788,48"
Ski Høyre,2,213,Kommune,2007,3604,"27,7",11,2011,1223,"46167,24","47390,24"
Ski KrF,2,213,Kommune,2007,526,"4,04",2,2011,1223,"6738,06","7961,06"
Ski Pensjonistparti,2,213,Kommune,2007,425,"3,27",1,2011,1223,"5444,25","6667,25"
Ski Rød Valgallianse,2,213,Kommune,2007,234,"1,8",1,2011,1223,"2997,54","4220,54"
Ski Senterparti,2,213,Kommune,2007,475,"3,65",2,2011,1223,"6084,75","7307,75"
Ski SV,2,213,Kommune,2007,897,"6,9",3,2011,1223,"11490,57","12713,57"
SKI VENSTRE,2,213,Kommune,2007,719,"5,53",2,2011,1223,"9210,39","10433,39"
Ås  Arbeiderparti,2,214,Kommune,2007,2143,"30,97",10,2011,1223,"27451,83","28674,83"
Ås Fremskrittsparti,2,214,Kommune,2007,1040,"15,03",5,2011,1223,"13322,4","14545,4"
Ås Høyre,2,214,Kommune,2007,1077,"15,57",5,2011,1223,"13796,37","15019,37"
Ås KrF,2,214,Kommune,2007,316,"4,57",2,2011,1223,"4047,96","5270,96"
Ås Senterparti,2,214,Kommune,2007,859,"12,42",4,2011,1223,"11003,79","12226,79"
Ås SV,2,214,Kommune,2007,813,"11,75",4,2011,1223,"10414,53","11637,53"
ÅS VENSTRE,2,214,Kommune,2007,536,"7,75",3,2011,1223,"6866,16","8089,16"
Frogn  Arbeiderparti,2,215,Kommune,2007,1295,"18,12",6,2011,1223,"16588,95","17811,95"
Frogn Fremskrittsparti,2,215,Kommune,2007,979,"13,7",4,2011,1223,"12540,99","13763,99"
Frogn Høyre,2,215,Kommune,2007,2238,"31,32",10,2011,1223,"28668,78","29891,78"
Frogn KrF,2,215,Kommune,2007,368,"5,15",2,2011,1223,"4714,08","5937,08"
Frogn Pensjonistparti,2,215,Kommune,2007,223,"3,12",1,2011,1223,"2856,63","4079,63"
Frogn Senterparti,2,215,Kommune,2007,227,"3,18",1,2011,1223,"2907,87","4130,87"
Frogn SV,2,215,Kommune,2007,561,"7,85",2,2011,1223,"7186,41","8409,41"
FROGN VENSTRE,2,215,Kommune,2007,1203,"16,84",5,2011,1223,"15410,43","16633,43"
Demokratene Nesodden,2,216,Kommune,2007,34,"0,43",0,2011,0,"435,54","435,54"
Miljøpartiet De Grønne,2,216,Kommune,2007,253,"3,18",1,2011,1223,"3240,93","4463,93"
Nesodden  Arbeiderparti,2,216,Kommune,2007,1588,"19,97",5,2011,1223,"20342,28","21565,28"
Nesodden Fremskrittsparti,2,216,Kommune,2007,908,"11,42",3,2011,1223,"11631,48","12854,48"
Nesodden Høyre,2,216,Kommune,2007,1628,"20,48",5,2011,1223,"20854,68","22077,68"
Nesodden KrF,2,216,Kommune,2007,525,"6,6",2,2011,1223,"6725,25","7948,25"
Nesodden Rød Valgallianse,2,216,Kommune,2007,464,"5,84",2,2011,1223,"5943,84","7166,84"
Nesodden SV,2,216,Kommune,2007,1943,"24,44",7,2011,1223,"24889,83","26112,83"
NESODDEN VENSTRE,2,216,Kommune,2007,497,"6,25",2,2011,1223,"6366,57","7589,57"
Oppegård  Arbeiderparti,2,217,Kommune,2007,2683,"21,61",7,2011,1223,"34369,23","35592,23"
Oppegård Fremskrittsparti,2,217,Kommune,2007,1607,"12,94",4,2011,1223,"20585,67","21808,67"
Oppegård Høyre,2,217,Kommune,2007,5669,"45,65",15,2011,1223,"72619,89","73842,89"
Oppegård KrF,2,217,Kommune,2007,557,"4,49",1,2011,1223,"7135,17","8358,17"
Oppegård Rød Valgallianse,2,217,Kommune,2007,137,"1,1",0,2011,0,"1754,97","1754,97"
Oppegård Sv,2,217,Kommune,2007,765,"6,16",2,2011,1223,"9799,65","11022,65"
OPPEGÅRD VENSTRE,2,217,Kommune,2007,899,"7,24",2,2011,1223,"11516,19","12739,19"
Senterpartiet,2,217,Kommune,2007,101,"0,81",0,2011,0,"1293,81","1293,81"
Bærum  Arbeiderparti,2,219,Kommune,2007,10460,"19,54",10,2011,1223,"133992,6","135215,6"
Bærum Fremskrittsparti,2,219,Kommune,2007,8195,"15,31",8,2011,1223,"104977,95","106200,95"
Bærum Høyre,2,219,Kommune,2007,21639,"40,41",21,2011,1223,"277195,59","278418,59"
Bærum KrF,2,219,Kommune,2007,1502,"2,81",1,2011,1223,"19240,62","20463,62"
Bærum Pensjonistparti,2,219,Kommune,2007,814,"1,52",1,2011,1223,"10427,34","11650,34"
Bærum Rød Valgallianse,2,219,Kommune,2007,711,"1,33",1,2011,1223,"9107,91","10330,91"
Bærum Senterparti,2,219,Kommune,2007,664,"1,24",0,2011,0,"8505,84","8505,84"
Bærum SV,2,219,Kommune,2007,3026,"5,65",3,2011,1223,"38763,06","39986,06"
BÆRUM VENSTRE,2,219,Kommune,2007,5819,"10,87",6,2011,1223,"74541,39","75764,39"
Asker  Arbeiderparti,2,220,Kommune,2007,5187,"20,06",10,2011,1223,"66445,47","67668,47"
Asker Fremskrittsparti,2,220,Kommune,2007,4095,"15,84",8,2011,1223,"52456,95","53679,95"
Asker Høyre,2,220,Kommune,2007,10242,"39,62",19,2011,1223,"131200,02","132423,02"
Asker KrF,2,220,Kommune,2007,849,"3,28",2,2011,1223,"10875,69","12098,69"
Asker Pensjonistparti,2,220,Kommune,2007,338,"1,31",0,2011,0,"4329,78","4329,78"
Asker Rød Valgallianse,2,220,Kommune,2007,282,"1,09",0,2011,0,"3612,42","3612,42"
Asker Senterparti,2,220,Kommune,2007,312,"1,21",0,2011,0,"3996,72","3996,72"
Asker SV,2,220,Kommune,2007,1159,"4,48",2,2011,1223,"14846,79","16069,79"
ASKER VENSTRE,2,220,Kommune,2007,2250,"8,7",4,2011,1223,"28822,5","30045,5"
AURSKOG HØLAND VENSTRE,2,221,Kommune,2007,261,"3,89",1,2011,1223,"3343,41","4566,41"
Aurskog-Høland Fremskrittsparti,2,221,Kommune,2007,2172,"32,37",11,2011,1223,"27823,32","29046,32"
Aurskog-Høland Høyre,2,221,Kommune,2007,375,"5,59",2,2011,1223,"4803,75","6026,75"
Aurskog-Høland KrF,2,221,Kommune,2007,668,"9,96",4,2011,1223,"8557,08","9780,08"
Aurskog-Høland Senterparti,2,221,Kommune,2007,788,"11,74",4,2011,1223,"10094,28","11317,28"
Aurskog-Høland Sv,2,221,Kommune,2007,232,"3,46",1,2011,1223,"2971,92","4194,92"
Aurskog/Høland  Arb.Parti,2,221,Kommune,2007,2214,33,12,2011,1223,"28361,34","29584,34"
Sørum  Arbeiderparti,2,226,Kommune,2007,2181,"31,6",10,2011,1223,"27938,61","29161,61"
Sørum Fremskrittsparti,2,226,Kommune,2007,1405,"20,36",6,2011,1223,"17998,05","19221,05"
Sørum Høyre,2,226,Kommune,2007,1711,"24,79",8,2011,1223,"21917,91","23140,91"
Sørum KrF,2,226,Kommune,2007,296,"4,29",1,2011,1223,"3791,76","5014,76"
Sørum Senterparti,2,226,Kommune,2007,724,"10,49",3,2011,1223,"9274,44","10497,44"
Sørum Sv,2,226,Kommune,2007,374,"5,42",2,2011,1223,"4790,94","6013,94"
Venstre,2,226,Kommune,2007,211,"3,06",1,2011,1223,"2702,91","3925,91"
Fet  Arbeiderparti,2,227,Kommune,2007,2161,"45,2",12,2011,1223,"27682,41","28905,41"
Fet Fremskrittsparti,2,227,Kommune,2007,991,"20,73",6,2011,1223,"12694,71","13917,71"
Fet Høyre,2,227,Kommune,2007,700,"14,64",4,2011,1223,8967,10190
Fet KrF,2,227,Kommune,2007,169,"3,53",1,2011,1223,"2164,89","3387,89"
Fet Senterparti,2,227,Kommune,2007,374,"7,82",2,2011,1223,"4790,94","6013,94"
FET VENSTRE,2,227,Kommune,2007,139,"2,91",1,2011,1223,"1780,59","3003,59"
Rælingen  Arbeiderparti,2,228,Kommune,2007,3008,"44,5",16,2011,1223,"38532,48","39755,48"
Rælingen Fremskrittsparti,2,228,Kommune,2007,1313,"19,42",7,2011,1223,"16819,53","18042,53"
Rælingen Høyre,2,228,Kommune,2007,1114,"16,48",6,2011,1223,"14270,34","15493,34"
Rælingen KrF,2,228,Kommune,2007,255,"3,77",1,2011,1223,"3266,55","4489,55"
Rælingen Senterparti,2,228,Kommune,2007,144,"2,13",1,2011,1223,"1844,64","3067,64"
Rælingen Sv,2,228,Kommune,2007,310,"4,59",2,2011,1223,"3971,1","5194,1"
RÆLINGEN VENSTRE,2,228,Kommune,2007,221,"3,27",1,2011,1223,"2831,01","4054,01"
Enebakk  Arbeiderparti,2,229,Kommune,2007,1049,"23,74",6,2011,1223,"13437,69","14660,69"
Enebakk Fremskrittsparti,2,229,Kommune,2007,974,"22,05",6,2011,1223,"12476,94","13699,94"
Enebakk Høyre,2,229,Kommune,2007,1436,"32,5",9,2011,1223,"18395,16","19618,16"
Enebakk KrF,2,229,Kommune,2007,208,"4,71",1,2011,1223,"2664,48","3887,48"
Enebakk Senterparti,2,229,Kommune,2007,453,"10,25",3,2011,1223,"5802,93","7025,93"
Enebakk SV,2,229,Kommune,2007,298,"6,75",2,2011,1223,"3817,38","5040,38"
Lørenskog  Arbeiderparti,2,230,Kommune,2007,6023,"40,88",20,2011,1223,"77154,63","78377,63"
Lørenskog Fremskrittsparti,2,230,Kommune,2007,2994,"20,32",10,2011,1223,"38353,14","39576,14"
Lørenskog Høyre,2,230,Kommune,2007,2618,"17,77",8,2011,1223,"33536,58","34759,58"
Lørenskog KrF,2,230,Kommune,2007,543,"3,69",2,2011,1223,"6955,83","8178,83"
Lørenskog Senterparti,2,230,Kommune,2007,261,"1,77",1,2011,1223,"3343,41","4566,41"
Lørenskog Sv,2,230,Kommune,2007,756,"5,13",2,2011,1223,"9684,36","10907,36"
LØRENSKOG VENSTRE,2,230,Kommune,2007,600,"4,07",2,2011,1223,7686,8909
Skedsmo  Arbeiderparti,2,231,Kommune,2007,7883,"37,71",18,2011,1223,"100981,23","102204,23"
