partinamn,fylkesnr,kummunenr,partitype,stemmer,relativdel,mandat,utbetalingsar,grunnstonad,stemmestonad,totalt
Akershus Rød Ungdom,2,200,Fylkesungdomsorganisasjon,0,0,0,2014,"0,00","24 427,41","24 427,41"
Akershus Senterparti,2,200,Fylkesparti,7629,3,1,2014,"47 639,00","212 315,07","259 954,07"
Akershus Senterungdom,2,200,Fylkesungdomsorganisasjon,0,0,0,2014,"0,00","67 058,91","67 058,91"
AKERSHUS SV,2,200,Fylkesparti,10557,"4,2",2,2014,"47 639,00","293 801,31","341 440,31"
AKERSHUS SOSIALISTISK UNGDOM,2,200,Fylkesungdomsorganisasjon,0,0,0,2014,"0,00","92 796,03","92 796,03"
AKERSHUS VENSTRE,2,200,Fylkesparti,15790,"6,2",3,2014,"47 639,00","439 435,70","487 074,70"
AKERSHUS UNGE VENSTRE,2,200,Fylkesungdomsorganisasjon,0,0,0,2014,"0,00","138 794,10","138 794,10"
VESTBY ARBEIDERPARTI,2,211,Kommuneparti,2348,"31,2",11,2014,"1 306,00","28 129,04","29 435,04"
VESTBY FRP,2,211,Kommuneparti,687,"9,1",3,2014,"1 306,00","8 230,26","9 536,26"
VESTBY HØYRE,2,211,Kommuneparti,2876,"38,2",14,2014,"1 306,00","34 454,48","35 760,48"
Vestby KrF,2,211,Kommuneparti,222,3,1,2014,"1 306,00","2 659,56","3 965,56"
Miljøpartiet De Grønne Vestby,2,211,Kommuneparti,69,"0,9",0,2014,"0,00","826,62","826,62"
VESTBY SENTERPARTI,2,211,Kommuneparti,445,"5,9",2,2014,"1 306,00","5 331,10","6 637,10"
Vestby SV,2,211,Kommuneparti,360,"4,8",2,2014,"1 306,00","4 312,80","5 618,80"
VESTBY VENSTRE,2,211,Kommuneparti,458,"6,1",2,2014,"1 306,00","5 486,84","6 792,84"
SKI ARBEIDERPARTI,2,213,Kommuneparti,4585,"32,2",13,2014,"1 306,00","54 928,30","56 234,30"
SKI FRP,2,213,Kommuneparti,1527,"10,7",5,2014,"1 306,00","18 293,46","19 599,46"
SKI HØYRE,2,213,Kommuneparti,5048,"35,5",15,2014,"1 306,00","60 475,04","61 781,04"
Ski KrF,2,213,Kommuneparti,489,"3,4",1,2014,"1 306,00","5 858,22","7 164,22"
MILJØPARTIET DE GRØNNE SKI,2,213,Kommuneparti,163,"1,1",0,2014,"0,00","1 952,74","1 952,74"
SKI PENSJONISTPARTI,2,213,Kommuneparti,318,"2,2",1,2014,"1 306,00","3 809,64","5 115,64"
Rødt Ski,2,213,Kommuneparti,206,"1,4",0,2014,"0,00","2 467,88","2 467,88"
Ski Senterparti,2,213,Kommuneparti,362,"2,5",1,2014,"1 306,00","4 336,76","5 642,76"
Ski SV,2,213,Kommuneparti,614,"4,3",2,2014,"1 306,00","7 355,72","8 661,72"
SKI VENSTRE,2,213,Kommuneparti,927,"6,5",3,2014,"1 306,00","11 105,46","12 411,46"
ÅS ARBEIDERPARTI,2,214,Kommuneparti,2456,"30,5",10,2014,"1 306,00","29 422,88","30 728,88"
ÅS FRP,2,214,Kommuneparti,837,"10,4",4,2014,"1 306,00","10 027,26","11 333,26"
ÅS HØYRE,2,214,Kommuneparti,2004,"24,9",8,2014,"1 306,00","24 007,92","25 313,92"
ÅS KRISTELIGE FOLKEPARTI ÅS KRF,2,214,Kommuneparti,316,"3,9",1,2014,"1 306,00","3 785,68","5 091,68"
ÅS MILJØPARTIET DE GRØNNE,2,214,Kommuneparti,197,"2,4",1,2014,"1 306,00","2 360,06","3 666,06"
Ås Senterparti,2,214,Kommuneparti,739,"9,2",3,2014,"1 306,00","8 853,22","10 159,22"
Ås SV,2,214,Kommuneparti,732,"9,1",3,2014,"1 306,00","8 769,36","10 075,36"
ÅS VENSTRE,2,214,Kommuneparti,782,"9,7",3,2014,"1 306,00","9 368,36","10 674,36"
Frogn Arbeiderparti,2,215,Kommuneparti,1855,"23,6",7,2014,"1 306,00","22 222,90","23 528,90"
FROGN FRP,2,215,Kommuneparti,667,"8,5",3,2014,"1 306,00","7 990,66","9 296,66"
Frogn Høyre,2,215,Kommuneparti,2480,"31,5",10,2014,"1 306,00","29 710,40","31 016,40"
Frogn KrF,2,215,Kommuneparti,545,"6,9",2,2014,"1 306,00","6 529,10","7 835,10"
Frogn Senterparti,2,215,Kommuneparti,279,"3,5",1,2014,"1 306,00","3 342,42","4 648,42"
Frogn SV,2,215,Kommuneparti,400,"5,1",2,2014,"1 306,00","4 792,00","6 098,00"
Frogn Venstre,2,215,Kommuneparti,1258,16,5,2014,"1 306,00","15 070,84","16 376,84"
NESODDEN ARBEIDERPARTI,2,216,Kommuneparti,2550,"27,6",9,2014,"1 306,00","30 549,00","31 855,00"
Demokratene i Norge Nesodden Lokallag,2,216,Kommuneparti,24,"0,3",0,2014,"0,00","287,52","287,52"
NESODDEN FRP,2,216,Kommuneparti,565,"6,1",2,2014,"1 306,00","6 768,70","8 074,70"
Nesodden Høyre,2,216,Kommuneparti,2505,"27,1",8,2014,"1 306,00","30 009,90","31 315,90"
Nesodden KrF,2,216,Kommuneparti,407,"4,4",1,2014,"1 306,00","4 875,86","6 181,86"
MILJØPARTIET DE GRØNNE LOKALLAG NESO,2,216,Kommuneparti,462,5,2,2014,"1 306,00","5 534,76","6 840,76"
Rødt Nesodden,2,216,Kommuneparti,535,"5,8",2,2014,"1 306,00","6 409,30","7 715,30"
Senterpartiet,2,216,Kommuneparti,58,"0,6",0,2014,"0,00","694,84","694,84"
NESODDEN SOSIALISTISK VENSTREPARTI,2,216,Kommuneparti,1562,"16,9",5,2014,"1 306,00","18 712,76","20 018,76"
Nesodden Venstre,2,216,Kommuneparti,579,"6,3",2,2014,"1 306,00","6 936,42","8 242,42"
Oppegård Arbeiderparti,2,217,Kommuneparti,3477,"25,3",8,2014,"1 306,00","41 654,46","42 960,46"
OPPEGÅRD FREMSKRITTSPARTI,2,217,Kommuneparti,1050,"7,6",2,2014,"1 306,00","12 579,00","13 885,00"
OPPEGÅRD HØYRE,2,217,Kommuneparti,6661,"48,4",16,2014,"1 306,00","79 798,78","81 104,78"
Oppegård KrF,2,217,Kommuneparti,608,"4,4",1,2014,"1 306,00","7 283,84","8 589,84"
Miljøpartiet De Grønne Oppegård,2,217,Kommuneparti,122,"0,9",0,2014,"0,00","1 461,56","1 461,56"
Rødt Oppegård,2,217,Kommuneparti,81,"0,6",0,2014,"0,00","970,38","970,38"
Senterpartiet,2,217,Kommuneparti,80,"0,6",0,2014,"0,00","958,40","958,40"
Oppegård Sv,2,217,Kommuneparti,646,"4,7",2,2014,"1 306,00","7 739,08","9 045,08"
Oppegård Venstre,2,217,Kommuneparti,1036,"7,5",2,2014,"1 306,00","12 411,28","13 717,28"
BÆRUM ARBEIDERPARTI,2,219,Kommuneparti,12475,"21,1",11,2014,"1 306,00","149 450,50","150 756,50"
BÆRUM FRP,2,219,Kommuneparti,4599,"7,8",4,2014,"1 306,00","55 096,02","56 402,02"
Bærum Høyre,2,219,Kommuneparti,30296,"51,3",27,2014,"1 306,00","362 946,08","364 252,08"
Bærum KrF,2,219,Kommuneparti,1552,"2,6",1,2014,"1 306,00","18 592,96","19 898,96"
BÆRUM MILJØPARTIET DE GRØNNE,2,219,Kommuneparti,699,"1,2",0,2014,"0,00","8 374,02","8 374,02"
Bærum Pensjonistparti,2,219,Kommuneparti,954,"1,6",1,2014,"1 306,00","11 428,92","12 734,92"
BÆRUM RØDT,2,219,Kommuneparti,662,"1,1",0,2014,"0,00","7 930,76","7 930,76"
Bærum Senterparti,2,219,Kommuneparti,482,"0,8",0,2014,"0,00","5 774,36","5 774,36"
Bærum SV,2,219,Kommuneparti,1998,"3,4",2,2014,"1 306,00","23 936,04","25 242,04"
BÆRUM VENSTRE,2,219,Kommuneparti,5380,"9,1",5,2014,"1 306,00","64 452,40","65 758,40"
ASKER ARBEIDERPARTI,2,220,Kommuneparti,5731,20,10,2014,"1 306,00","68 657,38","69 963,38"
ASKER FREMSKRITTSPARTI,2,220,Kommuneparti,2300,8,4,2014,"1 306,00","27 554,00","28 860,00"
Asker Høyre,2,220,Kommuneparti,14901,"51,9",25,2014,"1 306,00","178 513,98","179 819,98"
Asker KrF,2,220,Kommuneparti,789,"2,7",1,2014,"1 306,00","9 452,22","10 758,22"
ASKER PENSJONISTPARTI,2,220,Kommuneparti,528,"1,8",1,2014,"1 306,00","6 325,44","7 631,44"
Rødt Asker,2,220,Kommuneparti,247,"0,9",0,2014,"0,00","2 959,06","2 959,06"
Asker Senterparti,2,220,Kommuneparti,307,"1,1",0,2014,"0,00","3 677,86","3 677,86"
Asker SV,2,220,Kommuneparti,828,"2,9",1,2014,"1 306,00","9 919,44","11 225,44"
ASKER VENSTRE,2,220,Kommuneparti,2024,"7,1",3,2014,"1 306,00","24 247,52","25 553,52"
Aurskog-Høland Arbeiderparti,2,221,Kommuneparti,2675,"37,1",13,2014,"1 306,00","32 046,50","33 352,50"
AURSKOG-HØLAND FRP,2,221,Kommuneparti,1506,"20,9",7,2014,"1 306,00","18 041,88","19 347,88"
Aurskog-Høland Høyre,2,221,Kommuneparti,1244,"17,3",6,2014,"1 306,00","14 903,12","16 209,12"
Aurskog-Høland KrF,2,221,Kommuneparti,560,"7,8",3,2014,"1 306,00","6 708,80","8 014,80"
Aurskog-Høland Senterparti,2,221,Kommuneparti,921,"12,8",5,2014,"1 306,00","11 033,58","12 339,58"
Aurskog-Høland Sv,2,221,Kommuneparti,174,"2,4",1,2014,"1 306,00","2 084,52","3 390,52"
Aurskog Høland Venstre,2,221,Kommuneparti,126,"1,7",0,2014,"0,00","1 509,48","1 509,48"
Sørum Arbeiderparti,2,226,Kommuneparti,3133,"40,3",13,2014,"1 306,00","37 533,34","38 839,34"
SØRUM FRP,2,226,Kommuneparti,917,"11,8",4,2014,"1 306,00","10 985,66","12 291,66"
Sørum Høyre,2,226,Kommuneparti,2232,"28,7",9,2014,"1 306,00","26 739,36","28 045,36"
Sørum KrF,2,226,Kommuneparti,319,"4,1",1,2014,"1 306,00","3 821,62","5 127,62"
Sørum Senterparti,2,226,Kommuneparti,600,"7,7",2,2014,"1 306,00","7 188,00","8 494,00"
Sørum Sv,2,226,Kommuneparti,288,"3,7",1,2014,"1 306,00","3 450,24","4 756,24"
Sørum Venstre,2,226,Kommuneparti,283,"3,6",1,2014,"1 306,00","3 390,34","4 696,34"
Fet Arbeiderparti,2,227,Kommuneparti,2053,"39,3",11,2014,"1 306,00","24 594,94","25 900,94"
FET FREMSKRITTSPARTI,2,227,Kommuneparti,835,16,4,2014,"1 306,00","10 003,30","11 309,30"
Fet Høyre,2,227,Kommuneparti,1329,"25,4",7,2014,"1 306,00","15 921,42","17 227,42"
FET MILJØPARTIET DE GRØNNE,2,227,Kommuneparti,103,2,0,2014,"0,00","1 233,94","1 233,94"
Fet Senterparti,2,227,Kommuneparti,406,"7,8",2,2014,"1 306,00","4 863,88","6 169,88"
Fet Sv,2,227,Kommuneparti,180,"3,4",1,2014,"1 306,00","2 156,40","3 462,40"
Fet Venstre,2,227,Kommuneparti,320,"6,1",2,2014,"1 306,00","3 833,60","5 139,60"
RÆLINGEN ARBEIDERPARTI,2,228,Kommuneparti,4095,"54,7",20,2014,"1 306,00","49 058,10","50 364,10"
Rælingen Fremskrittsparti,2,228,Kommuneparti,799,"10,7",4,2014,"1 306,00","9 572,02","10 878,02"
RÆLINGEN HØYRE,2,228,Kommuneparti,1694,"22,6",8,2014,"1 306,00","20 294,12","21 600,12"
Rælingen KrF,2,228,Kommuneparti,248,"3,3",1,2014,"1 306,00","2 971,04","4 277,04"
Rødt Rælingen,2,228,Kommuneparti,49,"0,7",0,2014,"0,00","587,02","587,02"
